time,ecg
1713642990794195000,"[14374, 14809, 15223, 15616, 15978, 16300, 16576, 16851, 17145, 17363, 17490, 17620, 17761, 17867, 17980, 18086, 18142, 18220, 18330, 18415, 18499, 18563, 18570, 18603, 18657, 18673, 18713, 18772, 18718, 18608, 18603, 18622, 18584, 18525, 18450, 18401, 18387, 18323, 18205, 18104, 18010, 17919, 17834, 17752, 17672, 17547, 17406, 17312, 17213, 17098, 16999, 16863, 16707, 16592, 16482, 16362, 16242, 16089, 15934, 15811, 15689, 15562, 15433, 15273, 15113, 14983, 14852, 14713, 14605, 14459, 14254, 14108, 14003]"
1713642991355324379,"[13864, 13716, 13577, 13431, 13274, 13137, 13029, 12900, 12735, 12552, 12396, 12286, 12142, 11945, 11771, 11648, 11524, 11394, 11270, 11138, 11016, 11039, 11357, 11679, 11345, 10369, 9849, 10075, 10042, 9694, 9616, 9588, 9412, 9289, 9228, 9120, 9000, 8901, 8800, 8692, 8600, 8513, 8412, 8313, 8224, 8132, 8055, 7984, 7902, 7829, 7758, 7681, 7606, 7526, 7420, 7312, 7187, 7034, 6883, 6752, 6613, 6472, 6361, 6270, 6185, 6103, 6020, 5945, 5872, 5795, 5726, 5656, 5573]"
1713642991916453758,"[5508, 5444, 5371, 5308, 5240, 5167, 5105, 5040, 4971, 4910, 4828, 4743, 4696, 4637, 4539, 4459, 4409, 4358, 4299, 4235, 4162, 4108, 4061, 4007, 3960, 3911, 3859, 3810, 3760, 3715, 3671, 3621, 3574, 3530, 3483, 3440, 3403, 3356, 3309, 3266, 3222, 3184, 3146, 3104, 3057, 3017, 2979, 2946, 2911, 2869, 2824, 2765, 2716, 2688, 2655, 2605, 2556, 2523, 2483, 2438, 2410, 2382, 2347, 2330, 2321, 2290, 2241, 2191, 2151, 2123, 2107, 2086, 2057]"
1713642992477583137,"[2029, 2003, 1977, 1947, 1926, 2057, 2460, 2878, 2772, 1987, 1411, 1627, 1780, 1545, 1509, 1603, 1556, 1519, 1540, 1521, 1498, 1507, 1507, 1491, 1476, 1469, 1469, 1469, 1469, 1469, 1462, 1462, 1481, 1495, 1509, 1521, 1516, 1507, 1500, 1481, 1441, 1378, 1293, 1208, 1152, 1110, 1070, 1044, 1023, 1001, 997, 999, 992, 978, 966, 964, 968, 964, 957, 952, 938, 928, 931, 928, 919, 907, 893, 886, 886, 881, 872, 856, 825]"
1713642993038712516,"[790, 766, 759, 762, 747, 731, 731, 736, 731, 717, 691, 667, 670, 674, 660, 644, 635, 627, 623, 618, 604, 590, 571, 557, 557, 557, 552, 550, 543, 536, 538, 540, 538, 526, 512, 510, 526, 545, 550, 533, 503, 486, 489, 493, 491, 486, 482, 482, 484, 484, 472, 498, 745, 1232, 1566, 1211, 369, 119, 479, 489, 303, 381, 435, 373, 376, 383, 336, 333, 364, 362, 362, 381, 392]"
1713642993599841895,"[402, 411, 420, 437, 453, 475, 498, 508, 512, 538, 557, 559, 559, 540, 496, 437, 373, 317, 275, 239, 218, 211, 206, 202, 192, 183, 192, 204, 204, 209, 218, 223, 230, 237, 239, 244, 246, 249, 254, 258, 258, 258, 261, 258, 261, 263, 258, 258, 258, 256, 261, 263, 258, 258, 258, 254, 244, 232, 211, 190, 190, 202, 204, 204, 204, 206, 206, 209, 216, 216, 214, 214, 216]"
1713642994160971278,"[221, 225, 225, 218, 202, 188, 190, 202, 199, 195, 195, 197, 202, 209, 206, 190, 174, 181, 199, 216, 230, 225, 202, 185, 188, 192, 190, 185, 188, 192, 199, 202, 192, 181, 315, 745, 1234, 1206, 453, -143, 77, 291, 103, 77, 178, 141, 112, 150, 150, 143, 143, 119, 127, 159, 166, 176, 192, 199, 211, 242, 270, 291, 315, 336, 362, 392, 404, 406, 402, 369, 319, 263, 209]"
1713642994722100657,"[162, 122, 84, 65, 68, 72, 61, 42, 42, 61, 75, 87, 98, 96, 89, 103, 117, 119, 122, 105, 84, 96, 122, 127, 127, 122, 115, 122, 134, 138, 138, 134, 129, 134, 143, 145, 145, 138, 122, 110, 110, 110, 110, 94, 65, 56, 63, 56, 42, 35, 37, 47, 54, 61, 58, 56, 61, 68, 75, 82, 84, 82, 87, 94, 101, 105, 110, 119, 138, 150, 136, 105, 91]"
1713642995283214779,"[91, 96, 103, 108, 110, 115, 115, 117, 115, 124, 275, 691, 1135, 1034, 256, -254, 25, 204, 7, 7, 112, 79, 61, 103, 108, 101, 122, 141, 145, 145, 145, 155, 174, 190, 202, 218, 228, 225, 251, 291, 308, 324, 343, 338, 319, 303, 261, 195, 136, 91, 56, 32, 18, 14, 16, 16, 21, 30, 35, 39, 47, 39, 30, 37, 47, 56, 63, 65, 72, 79, 82, 89, 94]"
1713642995844349245,"[94, 94, 96, 98, 105, 105, 101, 94, 77, 72, 87, 94, 89, 89, 91, 98, 112, 112, 108, 115, 110, 101, 105, 110, 96, 84, 89, 96, 96, 82, 44, 23, 23, 23, 28, 32, 35, 35, 35, 44, 58, 61, 56, 61, 70, 77, 82, 87, 82, 84, 101, 98, 91, 98, 112, 112, 101, 91, 89, 89, 84, 84, 94, 103, 103, 105, 101, 89, 157, 479, 992, 1211, 677]"
1713642996405458276,"[-115, -145, 202, 112, -25, 54, 68, 37, 72, 96, 89, 91, 94, 103, 117, 131, 145, 148, 162, 188, 206, 225, 237, 237, 261, 301, 329, 343, 350, 343, 319, 291, 246, 188, 122, 70, 49, 32, 23, 25, 25, 18, 28, 35, 25, 30, 39, 37, 47, 68, 75, 75, 79, 79, 84, 98, 103, 105, 101, 94, 101, 108, 110, 110, 105, 103, 110, 115, 117, 115, 105, 94, 94]"
1713642996966587655,"[101, 103, 91, 68, 51, 51, 51, 42, 30, 11, 14, 25, 30, 35, 32, 14, -7, 0, 21, 21, 21, 30, 32, 44, 70, 89, 91, 77, 61, 54, 58, 68, 72, 68, 56, 47, 56, 75, 65, 72, 275, 747, 1168, 968, 145, -272, 49, 162, -35, 4, 96, 47, 39, 82, 79, 84, 105, 108, 115, 138, 152, 150, 159, 171, 171, 192, 239, 265, 277, 298, 324, 336, 331]"
