time,rr
1713351363976973000,11702
1713351364538102379,13768
1713351365099231758,5541
1713351365660350967,1898
1713351366221459998,1472
1713351366782589377,343
1713351367343718760,301
1713351367904848139,146
1713351368465977518,23
1713351369027096727,96
1713351369588205758,-9
1713351370149335137,365
1713351370710464520,299
1713351371271593899,32
1713351371832708021,320
1713351372393822139,47
1713351372954951518,30
1713351373516050379,21
1713351374077179762,54
1713351374638309141,237
1713351375199438520,106
1713351375760557729,2
1713351376321666760,77
1713351376882796139,-7
1713351377443925522,68
1713351378005024383,54
1713351378566153762,122
1713351379127252623,259
1713351379688382002,0
1713351380249511385,167
1713351380810615333,68
1713351381371739625,204
1713351381932853747,63
1713351382493967865,-49
1713351383055092161,87
1713351383616196105,56
1713351384177325488,-49
1713351384738454867,98
1713351385299568989,21
1713351385860683107,82
1713351386421812486,-21
1713351386982941869,65
1713351387544040730,35
1713351388105170109,-120
1713351388666299488,113
1713351389227418697,23
1713351389788527728,139
1713351390349657107,56
1713351390910786490,-42
1713351391471885351,-365
1713351392033014730,-18
1713351392594144109,-40
1713351393155242970,87
1713351393716372349,58
1713351394277501732,32
1713351394838631111,21
1713351395399745233,40
1713351395960859351,329
1713351396521988730,-435
1713351397083118109,68
1713351397644247492,-73
1713351398205356527,204
1713351398766475732,54
1713351399327605111,155
1713351399888734490,-40
1713351400449863869,96
1713351401010967821,9
1713351401572092113,120
1713351402133221492,61
1713351402694350871,65
1713351403255475167,0
1713351403816579111,98
1713351404377708494,77
1713351404938837873,-32
1713351405499967252,214
1713351406061086461,1024
1713351406622195492,42
1713351407183324871,-98
1713351407744454254,-134
1713351408305583633,54
1713351408866713012,98
1713351409427842391,888
1713351409988971770,56
1713351410550101149,-49
1713351411111230532,23
1713351411672339567,42
1713351412233458772,-56
1713351412794588151,1055
1713351413355717530,61
1713351413916846913,-37
1713351414477945774,-23
1713351415039075153,96
1713351415600204532,-25
1713351416161333911,25
1713351416722463290,-56
1713351417283592669,58
1713351417844722052,-35
1713351418405851431,127
1713351418966980810,77
1713351419528110189,106
1713351420089239568,96
1713351420650368951,-63
1713351421211472899,91
1713351421772597191,-40
1713351422333726570,256
1713351422894855949,73
1713351423455985328,30
1713351424017114707,58
1713351424578249177,16
1713351425139373469,235
1713351425700502848,56
1713351426261632227,-77
1713351426822761606,56
1713351427383890985,11
1713351427945020368,58
1713351428506149747,56
1713351429067263869,301
1713351429628377987,77
1713351430189507366,-9
1713351430750636745,183
1713351431311771215,75
1713351431872926025,-54
1713351432434055404,84
1713351432995174613,23
1713351433556309079,289
1713351434117413023,44
1713351434678542406,28
1713351435239671785,278
1713351435800801164,23
1713351436361930543,54
1713351436923054839,106
1713351437484189305,49
1713351438045318684,-35
1713351438606448063,369
1713351439167577442,30
1713351439728696651,306
1713351440289805682,1048
1713351440850935061,47
1713351441412064444,341
1713351441973193823,-11
1713351442534292684,11
1713351443095422063,195
1713351443656551442,254
1713351444217680821,47
1713351444778810204,-51
1713351445339939583,176
1713351445901068962,68
1713351446462198341,-96
1713351447023327720,-200
1713351447584457099,42
1713351448145586482,-54
1713351448706715861,160
1713351449267845240,80
1713351449828974619,49
1713351450390103998,106
1713351450951263899,122
1713351451512393278,-11
1713351452073522657,214
1713351452634652036,42
1713351453195781415,113
1713351453756936229,4
1713351454318040173,183
1713351454879169556,63
1713351455440298935,0
1713351456001428314,14
1713351456562557693,30
1713351457123687072,75
1713351457684816451,-25
1713351458245945834,110
1713351458807075213,65
1713351459368204592,9
1713351459929333971,294
1713351460490458267,75
1713351461051562211,103
1713351461612696681,-49
1713351462173831147,120
1713351462734950352,108
1713351463296079731,-14
1713351463857209110,89
1713351464418338489,77
1713351464979472959,-9
1713351465540607425,37
1713351466101741891,40
1713351466662856009,-18
1713351467223985388,252
1713351467785114767,84
1713351468346244150,37
1713351468907373529,259
1713351469468502908,117
1713351470029632287,14
1713351470590756583,141
1713351471151860527,68
1713351471712989910,25
1713351472274119289,280
1713351472835248668,56
1713351473396378047,18
1713351473957507426,221
1713351474518636805,25
1713351475079766188,348
1713351475640895567,181
1713351476202024946,21
1713351476763154325,278
1713351477324283704,32
1713351477885413085,14
1713351478446517035,-299
1713351479007641327,35
1713351479568770706,-37
1713351480129900085,68
1713351480691029464,25
1713351481252158843,101
1713351481813288226,40
1713351482374397261,-65
1713351482935516466,40
1713351483496656019,-7
1713351484057775224,-23
1713351484618904603,51
1713351485180033986,80
1713351485741163365,-35
1713351486302292744,14
1713351486863422123,40
1713351487424546419,303
1713351487985680885,7
1713351488546810264,40
1713351489107939643,204
1713351489669084283,70
1713351490230218749,28
1713351490791353215,35
1713351491352487681,65
1713351491913617060,25
1713351492474746439,-11
1713351493035875818,25
1713351493596995027,63
1713351494158104058,37
1713351494719233437,30
1713351495280362820,310
1713351495841502373,37
1713351496402636839,25
1713351496963750957,122
1713351497524880336,11
1713351498086009715,-54
1713351498647139098,-381
1713351499208268477,35
1713351499769397856,-30
1713351500330527235,68
1713351500891656614,47
1713351501452785993,110
1713351502013971326,28
1713351502575054929,-77
1713351503136174134,44
1713351503697303513,-11
1713351504258458327,341
1713351504819592793,56
1713351505380722172,51
1713351505941851551,301
1713351506502980930,-14
1713351507064110309,37
1713351507625234605,190
1713351508186369071,44
1713351508747498450,23
1713351509308627829,167
1713351509869757208,51
1713351510430886587,49
1713351510992015966,263
1713351511553145345,96
1713351512114274728,-4
1713351512675404107,21
1713351513236518229,11
1713351513797662865,89
1713351514358787161,75
1713351514919952143,294
1713351515481051006,146
1713351516042160041,-21
1713351516603294507,157
1713351517164428973,7
1713351517725563439,30
1713351518286697905,226
1713351518847827284,-278
1713351519408936319,61
1713351519970055524,-56
1713351520531184903,221
