time,ecg
1713643332390486000,"[12476, 13078, 13664, 14123, 14558, 15014, 15414, 15783, 16148, 16444, 16700, 17117, 17822, 18563, 18725, 18109, 17709, 18165, 18539, 18488, 18612, 18803, 18831, 18902, 19031, 19109, 19163, 19196, 19214, 19264, 19264, 19264, 19261, 19264, 19264, 19186, 19196, 19217, 19179, 19118, 19069, 19022, 18965, 18892, 18782, 18624, 18450, 18297, 18163, 18031, 17895, 17754, 17617, 17502, 17403, 17291, 17157, 17022, 16893, 16776, 16665, 16533, 16390, 16256, 16126, 16014, 15884, 15698, 15541, 15421, 15273, 15124, 14997]"
1713643332951584861,"[14852, 14704, 14565, 14417, 14283, 14151, 13977, 13822, 13695, 13549, 13412, 13297, 13144, 12949, 12784, 12636, 12476, 12335, 12196, 12053, 11917, 11790, 11686, 11545, 11357, 11213, 11065, 10936, 11091, 11519, 11724, 11164, 10176, 9868, 10143, 10016, 9710, 9682, 9616, 9438, 9348, 9268, 9137, 9043, 8953, 8831, 8732, 8645, 8539, 8450, 8368, 8273, 8196, 8121, 8038, 7977, 7916, 7820, 7702, 7596, 7497, 7366, 7203, 7046, 6905, 6766, 6648, 6552, 6451, 6359, 6279, 6190, 6114]"
1713643333512714240,"[6051, 5973, 5889, 5813, 5740, 5672, 5609, 5538, 5465, 5381, 5284, 5221, 5169, 5101, 5030, 4967, 4880, 4790, 4736, 4687, 4616, 4550, 4496, 4442, 4390, 4339, 4275, 4216, 4169, 4125, 4068, 4014, 3972, 3937, 3897, 3845, 3772, 3690, 3628, 3586, 3541, 3497, 3443, 3386, 3330, 3273, 3226, 3175, 3160, 3405, 3920, 4191, 3640, 2723, 2587, 2928, 2815, 2622, 2702, 2702, 2615, 2605, 2594, 2551, 2532, 2521, 2495, 2464, 2438, 2420, 2410, 2403, 2389]"
1713643334073813101,"[2368, 2356, 2365, 2373, 2368, 2358, 2335, 2295, 2243, 2161, 2060, 1966, 1872, 1787, 1745, 1719, 1691, 1667, 1641, 1622, 1615, 1608, 1594, 1575, 1552, 1540, 1538, 1528, 1514, 1498, 1476, 1465, 1460, 1448, 1432, 1415, 1392, 1378, 1366, 1340, 1314, 1300, 1284, 1270, 1265, 1253, 1239, 1222, 1204, 1197, 1192, 1182, 1168, 1152, 1133, 1126, 1119, 1110, 1098, 1081, 1067, 1060, 1053, 1037, 1011, 992, 983, 973, 961, 943, 924, 900, 867]"
1713643334634942480,"[856, 856, 837, 823, 820, 797, 769, 759, 754, 731, 710, 710, 714, 714, 712, 705, 684, 684, 884, 1399, 1881, 1674, 773, 310, 642, 738, 519, 557, 639, 578, 562, 595, 590, 583, 592, 595, 602, 620, 623, 625, 646, 658, 663, 686, 710, 726, 764, 792, 785, 773, 764, 759, 738, 658, 576, 526, 465, 413, 416, 437, 435, 428, 413, 395, 397, 404, 399, 397, 381, 369, 378, 383, 388]"
1713643335196041341,"[402, 399, 392, 395, 392, 385, 373, 352, 352, 357, 350, 355, 359, 355, 350, 345, 343, 333, 310, 305, 329, 322, 279, 270, 279, 263, 263, 296, 305, 270, 272, 310, 303, 279, 289, 301, 296, 286, 293, 315, 322, 315, 308, 310, 315, 315, 310, 308, 308, 312, 319, 322, 315, 301, 301, 329, 357, 350, 324, 293, 256, 239, 261, 275, 258, 263, 279, 270, 258, 263, 284, 458, 938]"
1713643335757170724,"[1429, 1248, 366, -89, 216, 305, 110, 155, 232, 178, 174, 218, 209, 197, 221, 225, 223, 244, 268, 279, 289, 301, 317, 343, 376, 406, 430, 442, 453, 468, 465, 439, 399, 345, 272, 209, 162, 131, 101, 63, 61, 84, 87, 84, 89, 77, 79, 101, 105, 108, 117, 115, 110, 103, 96, 108, 117, 112, 119, 141, 150, 145, 143, 150, 157, 159, 162, 166, 174, 181, 188, 190, 190]"
1713643336318300103,"[192, 190, 188, 181, 174, 171, 176, 188, 199, 202, 204, 202, 188, 166, 169, 181, 185, 188, 197, 190, 183, 202, 216, 211, 204, 202, 209, 216, 218, 214, 206, 209, 225, 230, 225, 216, 214, 235, 246, 225, 214, 206, 195, 192, 199, 188, 164, 148, 143, 155, 150, 138, 298, 766, 1234, 1081, 239, -235, 87, 216, -7, 16, 119, 77, 70, 115, 112, 96, 108, 129, 138, 143, 155]"
1713643336879398964,"[171, 188, 211, 235, 251, 277, 308, 336, 369, 378, 364, 357, 357, 326, 268, 202, 150, 110, 75, 56, 54, 47, 49, 58, 65, 63, 56, 47, 61, 77, 77, 84, 94, 96, 105, 122, 119, 105, 94, 87, 91, 105, 117, 115, 105, 115, 127, 127, 127, 129, 134, 138, 143, 150, 150, 145, 143, 145, 145, 134, 131, 138, 143, 143, 148, 157, 157, 143, 138, 136, 136, 141, 143]"
1713643337440528343,"[127, 108, 103, 105, 110, 110, 94, 75, 75, 77, 75, 94, 122, 127, 127, 124, 108, 82, 65, 68, 79, 87, 94, 98, 96, 91, 82, 117, 383, 903, 1251, 874, 16, -228, 134, 138, -49, 32, 103, 49, 65, 105, 91, 91, 119, 138, 148, 152, 152, 155, 162, 183, 209, 235, 258, 286, 315, 345, 371, 371, 355, 333, 301, 258, 199, 131, 75, 49, 42, 44, 49, 37, 25]"
1713643338001652639,"[35, 56, 68, 63, 61, 70, 79, 82, 77, 70, 79, 84, 79, 89, 98, 96, 77, 61, 75, 94, 94, 91, 89, 77, 61, 58, 72, 75, 68, 77, 91, 96, 98, 103, 101, 103, 105, 98, 96, 105, 101, 84, 72, 70, 70, 61, 49, 54, 63, 72, 75, 70, 63, 68, 79, 84, 84, 89, 91, 89, 98, 108, 103, 98, 108, 112, 110, 115, 131, 131, 124, 134, 145]"
