time,rr
1713643332390486000,13078
1713643332951584861,14704
1713643333512714240,5973
1713643334073813101,2356
1713643334634942480,856
1713643335196041341,399
1713643335757170724,1248
1713643336318300103,190
1713643336879398964,188
1713643337440528343,108
1713643338001652639,56
1713643338562756583,138
1713643339123885966,91
1713643339684984827,211
1713643340246098949,49
1713643340807213067,350
1713643341368342446,54
1713643341929441307,87
1713643342490570690,275
1713643343051700069,122
1713643343612798930,75
1713643344173928309,162
1713643344735057688,70
1713643345296187071,35
1713643345857291019,244
1713643346418415311,117
1713643346979544690,291
1713643347540663899,63
1713643348101772930,-11
1713643348662902309,91
1713643349224031692,-44
1713643349785130553,103
1713643350346259932,-16
1713643350907358793,18
1713643351468488172,18
1713643352029617555,25
1713643352590716416,75
1713643353151845795,30
1713643353712975174,82
1713643354274094383,68
1713643354835203414,1093
1713643355396332793,0
1713643355957436745,148
1713643356518561037,84
1713643357079675159,18
1713643357640789277,82
1713643358201918656,65
1713643358763017517,1222
1713643359324146900,44
1713643359885255935,-84
1713643360446375140,39
1713643361007474001,119
1713643361568603380,72
1713643362129702241,-16
1713643362690831624,72
1713643363251940659,56
1713643363813059864,-117
1713643364374179073,56
1713643364935288104,-11
1713643365496386965,25
1713643366057516348,103
1713643366618615209,72
1713643367179744588,42
1713643367740843449,-2
1713643368301972828,87
1713643368863102211,138
1713643369424201072,30
1713643369985310107,171
1713643370546429312,72
1713643371107548521,18
1713643371668657552,89
1713643372229786931,54
1713643372790885796,270
1713643373352015175,28
1713643373913114036,0
1713643374474212897,94
1713643375035342276,0
1713643375596441137,25
1713643376157570520,-2
1713643376718699899,115
1713643377279798760,23
1713643377840917969,350
1713643378402027000,124
1713643378963156379,44
1713643379524260331,61
1713643380085384623,14
1713643380646514002,75
1713643381207612863,0
1713643381768742242,178
1713643382329841103,82
1713643382890970486,-49
1713643383452069347,1197
1713643384013198726,39
1713643384574297587,68
1713643385135426966,-16
1713643385696525827,72
1713643386257655210,30
1713643386818754071,225
1713643387379868193,87
1713643387940982311,-25
1713643388502106607,580
1713643389063210551,28
1713643389624339934,0
1713643390185448969,-42
1713643390746568174,68
1713643391307697553,18
1713643391868796414,336
1713643392429925797,77
1713643392991024658,16
1713643393552133693,1070
1713643394113252898,51
1713643394674372107,-70
1713643395235481138,-37
1713643395796579999,96
1713643396357683951,58
1713643396918808243,-32
1713643397479922365,63
1713643398041036483,47
1713643398602160779,108
1713643399163264723,37
1713643399724394106,119
1713643400285503141,54
1713643400846622346,11
1713643401407721207,188
1713643401968850586,89
1713643402529949447,169
1713643403091078830,44
1713643403652177691,42
1713643404213337589,75
1713643404774426279,-77
1713643405335535310,54
1713643405896664693,-30
1713643406457763554,110
1713643407018892933,11
1713643407580007055,119
1713643408141121173,51
1713643408702245469,21
1713643409263349413,91
1713643409824453365,54
1713643410385577657,-51
1713643410946676518,11
1713643411507805897,23
1713643412068904758,1143
1713643412630034137,75
1713643413191163520,129
1713643413752262381,9
1713643414313391760,39
1713643414874490621,282
1713643415435620000,101
1713643415996718861,4
1713643416557822813,990
1713643417118947105,51
1713643417680045966,105
1713643418241175345,9
1713643418802274206,65
1713643419363403585,42
1713643419924507537,98
1713643420485631829,-16
1713643421046745951,-110
1713643421607860069,49
1713643422168958930,-47
1713643422730118831,82
1713643423291217692,51
1713643423852316553,63
1713643424413430675,115
1713643424974544793,25
1713643425535669089,103
1713643426096773033,87
1713643426657902416,28
1713643427219001277,7
1713643427780130656,82
1713643428341229517,-68
1713643428902358896,1074
1713643429463457757,70
1713643430024587140,82
1713643430585696175,70
1713643431146815380,272
1713643431707914241,21
1713643432269043620,39
1713643432830142481,230
1713643433391271864,49
1713643433952401243,7
1713643434513500104,7
1713643435074619313,75
1713643435635728344,232
1713643436196857727,-25
1713643436757956588,39
1713643437319065623,37
1713643437880184828,82
1713643438441283689,-32
1713643439002413068,44
1713643439563511933,51
1713643440124641312,136
1713643440685750347,30
1713643441246869552,51
1713643441807998931,70
1713643442369097792,47
1713643442930227175,303
1713643443491326036,44
1713643444052455415,65
1713643444613554276,270
1713643445174683655,1032
1713643445735807951,-39
1713643446296911895,-98
1713643446858041278,42
1713643447419140139,42
1713643447980269518,-89
1713643448541368379,649
1713643449102497758,72
1713643449663596619,-32
1713643450224731089,105
1713643450785855381,65
1713643451346984760,-44
1713643451908114139,25
1713643452469243518,79
1713643453030372901,-21
1713643453591476849,157
1713643454152611315,70
1713643454713730520,21
1713643455274859899,188
1713643455835989278,63
1713643456397088139,-11
1713643456958217522,223
1713643457519346901,877
1713643458080461023,39
1713643458641575141,101
1713643459202704520,84
1713643459763803381,25
1713643460324932764,-11
1713643460886062143,30
1713643461447176265,21
1713643462008290383,16
1713643462569419762,89
1713643463130549145,-32
1713643463691653093,37
1713643464252777385,122
1713643464813906764,39
1713643465375025973,30
1713643465936135004,49
1713643466497264383,-84
1713643467058393766,23
1713643467619492627,58
1713643468180622006,-35
1713643468741720867,129
1713643469302850246,54
1713643469863979629,47
1713643470425083577,87
1713643470986207869,-18
1713643471547337248,-37
1713643472108466627,63
1713643472669590923,246
1713643473230694867,98
1713643473791824250,-35
1713643474352923111,-94
1713643474914052490,79
1713643475475181869,-32
1713643476036311248,-18
1713643476597410109,37
1713643477158539492,-11
1713643477719668871,42
1713643478280767732,-58
1713643478841897111,49
1713643479403026490,28
1713643479964125351,44
1713643480525254734,77
1713643481086353595,98
1713643481647482974,-2
1713643482208581835,28
1713643482769711214,25
1713643483330840593,72
1713643483891969976,65
1713643484453068837,72
1713643485014198216,235
1713643485575327595,96
1713643486136426456,-44
1713643486697555835,72
1713643487258685218,21
1713643487819814597,112
1713643488380928719,-9
1713643488942042837,185
1713643489503172216,61
1713643490064271077,35
1713643490625400460,49
1713643491186509495,51
1713643491747628700,122
