time,rr
1713644537917128000,13137
1713644538478257379,14240
1713644539039386758,5679
1713644539600536485,1973
1713644540161676034,1952
1713644540722835935,305
1713644541283970401,47
1713644541845125211,84
1713644542406269851,176
1713644542967414487,89
1713644543528569301,63
1713644544089703763,362
1713644544650863664,115
1713644545212023561,-16
1713644545773152940,30
1713644546334312837,28
1713644546895467651,119
1713644547456602113,54
1713644548017762014,383
1713644548578891393,61
1713644549140020772,65
1713644549701150151,-77
1713644550262279530,108
1713644550823439431,68
1713644551384568810,-94
1713644551945728707,98
1713644552506858086,54
1713644553068017983,11
1713644553629147362,239
1713644554190307259,110
1713644554751467160,289
1713644555312606713,87
1713644555873771697,-54
1713644556434916333,101
1713644556996071147,-39
1713644557557205609,1194
1713644558118365510,-14
1713644558679505063,94
1713644559240654786,37
1713644559801804513,326
1713644560362944062,119
1713644560924073441,-9
1713644561485233342,164
1713644562046372895,54
1713644562607522618,-25
1713644563168682515,30
1713644563729811894,-16
1713644564290971791,54
1713644564852131692,7
1713644565413261071,25
1713644565974420968,-25
1713644566535550347,350
1713644567096705161,-155
1713644567657839623,51
1713644568218999524,-58
1713644568780128903,-25
1713644569341288800,70
1713644569902418179,-21
1713644570463572993,84
1713644571024707455,138
1713644571585867356,42
1713644572147006909,-65
1713644572708156632,77
1713644573269306359,42
1713644573830445908,18
1713644574391575287,35
1713644574952735188,-23
1713644575513864567,21
1713644576074993946,42
1713644576636143673,-14
1713644577197283222,268
1713644577758443123,-188
1713644578319572502,56
1713644578880701881,58
1713644579441846521,383
1713644580002991157,65
1713644580564120536,-14
1713644581125280437,39
1713644581686409816,21
1713644582247549369,44
1713644582808699092,18
1713644583369828471,-75
1713644583930957850,61
1713644584492117747,44
1713644585053252217,0
1713644585614407027,-42
1713644586175551667,185
1713644586736696303,89
1713644587297825682,63
1713644587858985579,44
1713644588420120049,68
1713644588981274859,2
1713644589542434756,-89
1713644590103564135,68
1713644590664718949,11
1713644591225883933,51
1713644591787013312,-47
1713644592348173209,11
1713644592909302588,30
1713644593470452315,317
1713644594031591864,101
1713644594592751761,39
1713644595153911662,-105
1713644595715041041,49
1713644596276216198,-87
1713644596837330317,286
1713644597398490214,61
1713644597959650115,150
