time,ecg
1710722420294017000,"[5383, 5892, 6415, 6913, 7359, 7805, 8242, 8643, 9026, 9381, 9716, 10054, 10377, 10689, 10978, 11212, 11439, 11690, 11924, 12144, 12349, 12511, 12653, 12819, 12983, 13138, 13283, 13367, 13413, 13509, 13654, 13751, 13739, 13731, 13797, 13862, 13915, 13939, 13932, 13934, 13900, 13871, 13896, 13891, 13847, 13813, 13780, 13748, 13731, 13698, 13633, 13563, 13500, 13452, 13415, 13343, 13259, 13198, 13135, 13073, 13012, 12906, 12812, 12747, 12612, 12482, 12428, 12339, 12223, 12137, 12038, 11943, 11857]"
1710722420855456646,"[11799, 11968, 12303, 12400, 11905, 11111, 10887, 11089, 10945, 10691, 10708, 10650, 10409, 10298, 10266, 10131, 10028, 9962, 9842, 9740, 9661, 9562, 9480, 9398, 9299, 9178, 9048, 8976, 8932, 8845, 8754, 8691, 8606, 8491, 8377, 8232, 8068, 7928, 7781, 7632, 7523, 7422, 7318, 7238, 7154, 7055, 6973, 6886, 6802, 6732, 6645, 6558, 6478, 6399, 6321, 6222, 6121, 6054, 5981, 5892, 5832, 5776, 5694, 5614, 5542, 5465, 5402, 5342, 5262, 5185, 5115, 5040, 4980]"
1710722421416896292,"[4922, 4849, 4775, 4705, 4644, 4591, 4536, 4463, 4360, 4256, 4200, 4164, 4109, 4039, 3952, 3877, 3836, 3773, 3665, 3568, 3515, 3481, 3455, 3416, 3356, 3288, 3233, 3194, 3163, 3124, 3086, 3042, 2992, 2955, 2926, 2885, 2844, 2897, 3172, 3544, 3600, 3018, 2362, 2412, 2632, 2463, 2347, 2405, 2374, 2299, 2287, 2277, 2248, 2231, 2215, 2178, 2149, 2142, 2133, 2118, 2106, 2087, 2072, 2082, 2094, 2099, 2096, 2077, 2055, 2043, 2009, 1942, 1848]"
1710722421978356282,"[1739, 1652, 1599, 1553, 1498, 1440, 1397, 1385, 1380, 1356, 1305, 1237, 1191, 1191, 1201, 1194, 1184, 1167, 1148, 1141, 1143, 1138, 1129, 1114, 1093, 1088, 1088, 1078, 1066, 1044, 1023, 1015, 1013, 1003, 991, 967, 919, 875, 871, 875, 859, 834, 825, 822, 820, 808, 776, 745, 726, 706, 697, 694, 680, 658, 653, 656, 653, 646, 634, 622, 615, 612, 612, 608, 598, 588, 581, 576, 562, 533, 521, 523, 516]"
1710722422539806102,"[511, 516, 499, 456, 439, 451, 451, 446, 431, 412, 419, 434, 424, 412, 402, 390, 388, 388, 386, 388, 383, 381, 383, 374, 361, 458, 786, 1218, 1343, 786, 77, 115, 395, 265, 180, 282, 279, 241, 267, 282, 275, 282, 291, 294, 296, 306, 316, 320, 335, 347, 357, 381, 407, 424, 443, 458, 465, 472, 465, 417, 342, 277, 224, 180, 147, 120, 108, 96, 62, 50, 69, 74, 69]"
1710722423101245748,"[74, 84, 94, 98, 96, 82, 60, 60, 65, 50, 45, 50, 48, 55, 67, 69, 67, 67, 45, 14, 7, 0, -19, -19, -14, -7, 0, 4, -2, -4, 2, 12, 21, 24, 16, 14, 19, 31, 38, 38, 33, 31, 38, 48, 55, 55, 48, 43, 53, 60, 48, 26, 14, 19, 31, 41, 48, 48, 38, 24, 0, -16, 2, 12, -4, -2, 16, 26, 33, 36, 26, 26, 41]"
1710722423662690480,"[50, 53, 36, -2, -12, 14, 28, 28, 33, 19, 7, 33, 65, 62, 38, 21, 21, 31, 38, 43, 36, 28, 36, 48, 53, 41, 41, 214, 641, 1052, 938, 190, -270, -12, 103, -72, -43, 36, -16, -31, 12, 4, -19, -4, 4, 0, 16, 41, 53, 62, 69, 79, 82, 74, 89, 127, 142, 152, 173, 190, 185, 159, 108, 53, 9, -19, -45, -67, -82, -86, -77, -65, -55]"
1710722424224155558,"[-60, -77, -79, -60, -45, -43, -43, -41, -38, -31, -19, -26, -53, -60, -45, -33, -38, -53, -62, -57, -55, -48, -38, -38, -41, -41, -50, -62, -65, -77, -94, -89, -101, -125, -120, -106, -106, -101, -91, -84, -74, -69, -67, -60, -62, -89, -115, -108, -86, -82, -79, -65, -55, -53, -43, -33, -33, -26, -19, -21, -14, -2, -2, 2, 2, -9, -7, 4, 4, 7, 14, 14, 24]"
1710722424785595204,"[36, 33, 31, 38, 41, 45, 55, 72, 69, 38, 12, 19, 24, 9, 9, 14, 16, 26, 28, 26, 24, 14, 72, 340, 743, 960, 588, -135, -260, 67, 31, -115, -38, 0, -36, -9, 14, -26, -62, -43, -14, -2, 7, 16, 26, 43, 72, 101, 127, 147, 168, 200, 229, 248, 255, 241, 202, 168, 130, 67, 4, -38, -65, -74, -72, -65, -69, -77, -74, -60, -48, -41, -38]"
1710722425347034850,"[-48, -45, -26, -14, -9, -16, -48, -69, -60, -55, -60, -55, -55, -57, -60, -72, -69, -67, -94, -118, -108, -106, -115, -113, -113, -115, -106, -91, -79, -89, -127, -142, -110, -94, -96, -89, -86, -84, -69, -53, -41, -45, -53, -41, -28, -28, -26, -26, -24, 4, 26, 16, -4, -14, -14, -2, 7, 14, 19, 12, 9, 26, 33, 33, 135, 448, 830, 902, 371, -229, -135, 125, -4]"
1710722425908474496,"[-69, 36, 36, -4, 14, 16, -4, 9, 26, 2, -16, 4, 33, 48, 67, 89, 108, 135, 168, 205, 236, 258, 243, 197, 180, 173, 110, 28, -24, -65, -96, -106, -113, -120, -118, -108, -101, -98, -108, -115, -106, -94, -86, -77, -69, -79, -94, -89, -74, -65, -65, -62, -53, -48, -45, -53, -69, -79, -94, -106, -94, -89, -98, -91, -79, -86, -79, -69, -72, -79, -91, -101, -86]"
1710722426469914142,"[-72, -77, -67, -55, -57, -57, -55, -60, -45, -28, -43, -55, -53, -53, -43, -55, -94, -98, -72, -67, -60, -41, -45, -7, 238, 656, 924, 600, -144, -357, -28, -7, -152, -77, -26, -69, -55, -16, -19, -12, 4, 12, 19, 41, 60, 72, 84, 101, 125, 159, 197, 224, 246, 267, 282, 294, 294, 260, 193, 115, 43, -24, -67, -82, -96, -106, -96, -84, -77, -72, -72, -72, -60]"
1710722427031358874,"[-43, -33, -33, -55, -82, -74, -53, -53, -89, -123, -108, -82, -74, -65, -55, -65, -67, -50, -41, -48, -67, -86, -79, -60, -50, -45, -43, -50, -50, -36, -24, -19, -21, -45, -62, -50, -36, -36, -41, -50, -48, -36, -33, -45, -65, -86, -96, -94, -84, -79, -89, -110, -125, -123, -106, -96, -103, -108, -96, -79, -69, -65, -69, -77, -60, -45, -43, -38, -43, -50, -41, -24, -26]"
1710722427592823952,"[-57, -98, -96, -69, -62, -55, -45, -53, -57, -43, -38, -60, -86, -106, -103, -86, -77, -65, -48, -36, -33, -28, -19, -16, -33, -48, -38, -24, -16, -12, -9, -14, -24, -28, 91, 470, 950, 1076, 458, -265, -180, 91, -67, -159, -65, -62, -86, -50, -43, -50, -36, -19, -9, 0, 7, 16, 26, 45, 67, 84, 98, 123, 147, 171, 193, 197, 171, 135, 115, 96, 45, -14, -57]"
1710722428154263598,"[-89, -123, -154, -164, -159, -152, -144, -139, -132, -132, -152, -154, -135, -125, -120, -108, -106, -98, -86, -82, -74, -67, -65, -57, -50, -50, -45, -43, -43, -36, -31, -33, -28, -24, -48, -74, -79, -74, -74, -74, -72, -60, -57, -60, -65, -79, -89, -89, -101, -113, -106, -106, -103, -94, -89, -94, -91, -86, -84, -96, -132, -142, -123, -118, -110, -101, -118, -135, -123, -113, -103, -86, -79]"
1710722428715703244,"[-79, -77, -69, -55, -41, -41, -53, -77, -84, -62, -43, -45, -45, -45, -38, -24, -12, -9, -16, -16, -7, 7, 12, 12, 9, 12, 21, 31, 26, 14, -2, -7, 4, 16, 19, 21, 12, 9, 21, 21, 16, 137, 492, 933, 1027, 419, -236, -123, 98, -62, -101, 2, -48, -115, -82, -57, -65, -62, -55, -50, -45, -28, -2, 16, 36, 48, 55, 82, 125, 156, 180, 195, 200]"
1710722429277142890,"[209, 221, 209, 176, 115, 45, 4, -16, -36, -55, -91, -115, -98, -79, -74, -72, -82, -94, -77, -53, -48, -45, -48, -48, -36, -24, -16, -12, -12, -14, -12, -16, -24, -19, -24, -31, -21, -7, -2, -7, -28, -45, -43, -50, -82, -113, -123, -120, -130, -135, -118, -115, -123, -110, -94, -89, -86, -79, -74, -69, -55, -43, -36, -36, -33, -31, -24, -12, -4, -7, -4, 0, 7]"
1710722429838552018,"[16, 14, 12, 14, 19, 21, 26, 16, 9, 21, 28, 26, 26, 7, -12, 9, 38, 43, 43, 28, 12, 16, 24, 28, 31, 28, 36, 48, 43, 38, 36, 120, 434, 859, 1001, 516, -176, -214, 60, -41, -156, -60, -33, -72, -31, -4, -26, -14, 12, 14, 26, 48, 57, 69, 84, 98, 125, 154, 176, 205, 231, 250, 272, 284, 282, 255, 205, 142, 84, 31, -24, -79, -125]"
