time,rr
1713644213062691000,12161
1713644213623820379,13817
1713644214184965019,5508
1713644214746109655,2137
1713644215307239034,764
1713644215868398935,432
1713644216429528314,195
1713644216990667867,164
1713644217551817590,94
1713644218112946969,261
1713644218674076348,129
1713644219235236249,21
1713644219796365628,124
1713644220357505181,39
1713644220918654904,-293
1713644221479804631,16
1713644222040944180,148
1713644222602104081,79
1713644223163233460,-37
1713644223724362839,105
1713644224285522736,25
1713644224846652115,124
1713644225407781494,11
1713644225968941395,101
1713644226530070774,51
1713644227091230671,9
1713644227652375311,89
1713644228213519947,32
1713644228774674761,51
1713644229335839745,63
1713644229896969124,376
1713644230458098503,25
1713644231019243143,-49
1713644231580387779,77
1713644232141517158,35
1713644232702677055,-296
1713644233263811525,4
1713644233824966335,322
1713644234386110975,49
1713644234947255611,-37
1713644235508384990,32
1713644236069544887,44
1713644236630704788,190
1713644237191834167,-7
1713644237752978807,-25
1713644238314123443,47
1713644238875252822,56
1713644239436412723,108
1713644239997547189,61
1713644240558701999,4
1713644241119846639,28
1713644241680991275,51
1713644242242120654,141
1713644242803280551,72
1713644243364409934,272
1713644243925549487,77
1713644244486699210,-9
1713644245047828589,108
1713644245608983403,-14
1713644246170117869,1140
1713644246731247248,-44
1713644247292386801,371
1713644247853521266,84
1713644248414665903,32
1713644248975795282,-25
1713644249536924661,65
1713644250098084562,-39
1713644250659213941,9
1713644251220343320,16
1713644251781493047,14
1713644252342632596,108
1713644252903761975,357
1713644253464921876,58
1713644254026061429,37
1713644254587211152,89
1713644255148340531,49
1713644255709495345,44
1713644256270629807,-7
1713644256831764277,-54
1713644257392919087,89
1713644257954063727,14
1713644258515208363,1213
1713644259076337742,61
1713644259637497643,-44
1713644260198627022,75
1713644260759756401,-11
1713644261320901041,14
1713644261882045677,21
1713644262443175056,2
1713644263004304435,35
1713644263565464336,319
1713644264126593715,72
1713644264687738355,-21
1713644265248882991,75
1713644265810012370,-32
1713644266371172271,37
1713644266932301650,4
1713644267493441203,-42
1713644268054590926,28
1713644268615720305,44
1713644269176849684,35
1713644269737979063,79
1713644270299138964,0
1713644270860268343,2
1713644271421412983,11
1713644271982557619,879
1713644272543712433,65
1713644273104846895,108
1713644273665981365,44
1713644274227136175,-47
1713644274788280815,89
1713644275349425451,11
1713644275910554830,131
1713644276471714731,4
1713644277032844110,112
1713644277593983663,51
1713644278155133386,268
1713644278716262765,75
1713644279277422662,-47
1713644279838552041,68
1713644280399711942,-14
1713644280960841321,-84
1713644281522001218,-44
1713644282083130597,37
1713644282644259976,37
1713644283205419877,16
1713644283766549256,68
1713644284327678635,39
1713644284888808014,68
1713644285449957741,70
1713644286011097290,35
1713644286572226669,105
1713644287133386570,122
1713644287694546467,-44
1713644288255706364,49
1713644288816856091,44
1713644289378021075,284
1713644289939155537,30
1713644290500315438,4
1713644291061454991,70
1713644291622604714,49
1713644292183754441,-18
1713644292744893990,39
1713644293306053891,75
1713644293867183270,101
1713644294428312649,315
1713644294989472546,134
1713644295550601925,-18
1713644296111766910,91
1713644296672891205,-176
1713644297234020584,101
1713644297795160137,-91
1713644298356309860,82
1713644298917459587,122
1713644299478599136,-2
1713644300039759037,254
1713644300600888416,-174
1713644301162048313,7
1713644301723192953,-65
1713644302284337589,98
1713644302845492403,63
1713644303406626865,-7
1713644303967786766,218
1713644304528946663,84
1713644305090076042,-37
1713644305651235939,-89
1713644306212395836,68
1713644306773555737,-61
1713644307334685116,16
1713644307895845013,35
1713644308456974392,1178
1713644309018134289,63
1713644309579289103,14
1713644310140423565,37
1713644310701558035,148
1713644311262712845,56
1713644311823857485,11
1713644312385002121,70
1713644312946162018,51
1713644313507291397,731
1713644314068451298,7
1713644314629631541,136
1713644315190740574,63
1713644315751890301,162
1713644316313029850,47
1713644316874189751,322
1713644317435319130,87
1713644317996458683,-77
1713644318557608406,98
1713644319118758133,-56
1713644319679897682,103
1713644320241027061,-89
1713644320802186962,79
1713644321363326515,-16
1713644321924491499,77
1713644322485625965,-21
1713644323046765514,129
1713644323607925415,-11
1713644324169059881,1178
1713644324730214691,42
1713644325291359331,564
1713644325852503967,-11
1713644326413633346,70
1713644326974793247,7
1713644327535922626,11
1713644328097082523,54
1713644328658227163,82
1713644329219371799,75
1713644329780526613,35
1713644330341661075,72
1713644330902820976,61
1713644331463960529,58
1713644332025110252,77
1713644332586259979,79
1713644333147399528,174
1713644333708528907,112
1713644334269688808,-7
1713644334830828361,75
1713644335391978084,49
1713644335953107463,21
1713644336514262277,-18
1713644337075396739,70
1713644337636531209,101
1713644338197686019,75
1713644338758830659,-82
1713644339319975295,112
1713644339881104674,-2
1713644340442264575,101
1713644341003393954,9
1713644341564553851,87
1713644342125683230,124
1713644342686843127,79
1713644343247997941,242
1713644343809132403,96
1713644344370292304,275
1713644344931431857,105
1713644345492581580,303
1713644346053741477,65
1713644346614870856,-117
1713644347176030753,91
1713644347737190654,-79
1713644348298330207,98
1713644348859479930,-101
1713644349420629657,98
1713644349981769206,-21
1713644350542929107,98
1713644351104063573,-35
1713644351665218383,110
1713644352226378280,-70
1713644352787528007,68
1713644353348667556,21
1713644353909827457,68
1713644354470956836,51
1713644355032116733,-28
1713644355593261373,58
1713644356154406009,103
1713644356715565906,28
1713644357276695285,127
1713644357837855186,87
1713644358399015083,63
1713644358960144462,94
1713644359521304359,136
1713644360082433738,77
1713644360643593635,30
1713644361204728105,61
1713644361765882915,-70
1713644362327042812,77
1713644362888192539,-82
1713644363449332088,115
1713644364010491989,-68
1713644364571646800,79
1713644365132781265,23
1713644365693925905,82
1713644366255070541,-32
1713644366816225355,70
1713644367377359817,23
1713644367938519718,115
1713644368499659271,51
1713644369060808994,56
1713644369621968891,77
1713644370183123705,42
1713644370744258167,79
1713644371305418068,119
1713644371866557621,89
1713644372427707344,-14
1713644372988867241,94
1713644373550022055,47
1713644374111156517,72
1713644374672316418,7
1713644375233455971,127
1713644375794605694,63
1713644376355765591,131
1713644376916894970,47
1713644377478054867,9
1713644378039214768,94
1713644378600344147,-30
