time,rr
1714133945983880000,10772
1714133946545009379,14272
1714133947106138758,5739
1714133947667268137,1989
1714133948228397516,699
1714133948789526895,316
1714133949350656278,91
1714133949911775485,141
1714133950472915036,134
1714133951034034245,64
1714133951595143276,232
1714133952156272655,79
1714133952717407125,95
1714133953278561935,7
1714133953839691314,177
1714133954400820693,79
1714133954961950072,19
1714133955523079451,-76
1714133956084239352,177
1714133956645368731,103
1714133957206498110,-57
1714133957767627489,-35
1714133958328756868,31
1714133958889886247,-9
1714133959451015630,218
1714133960012145009,-79
1714133960573274388,55
1714133961134424115,71
1714133961695533146,86
1714133962256662525,-33
1714133962817822426,71
1714133963378951805,-81
1714133963940081184,40
1714133964501200393,69
1714133965062339942,-59
1714133965623469321,143
1714133966184598704,-7
1714133966745728083,304
1714133967306857462,31
1714133967867986841,31
1714133968429116220,-83
1714133968990245599,-270
1714133969551374982,45
1714133970112504361,26
1714133970673633740,52
1714133971234763119,67
1714133971795892498,33
1714133972357021877,23
1714133972918156347,93
1714133973479290813,-7
1714133974040410018,165
1714133974601539397,-7
1714133975162668776,23
1714133975723798155,105
1714133976284927538,14
1714133976846056917,33
1714133977407171039,19
1714133977968305505,-23
1714133978529414536,191
1714133979090543915,-323
1714133979651673298,-26
1714133980212772159,194
1714133980773901538,47
1714133981335030917,11
1714133981896155213,-7
1714133982457289679,0
1714133983018388540,52
1714133983579517919,146
1714133984140647298,-33
1714133984701766507,47
1714133985262875538,232
1714133985824004917,7
1714133986385134300,59
1714133986946243335,-14
1714133987507362540,-81
1714133988068481749,57
1714133988629616215,-35
1714133989190720159,-40
1714133989751849542,64
1714133990312978921,0
1714133990874077782,62
1714133991435207161,81
1714133991996336540,45
1714133992557435401,55
1714133993118564784,55
1714133993679663645,4
1714133994240793024,210
1714133994801912233,520
1714133995363021264,57
1714133995924120125,9
1714133996485249508,251
1714133997046358543,47
1714133997607477748,23
1714133998168607127,-35
1714133998729705988,7
1714133999290835367,-7
1714133999851964750,-62
1714134000413063611,131
1714134000974192990,57
1714134001535291851,980
1714134002096421230,43
1714134002657550613,33
1714134003218649474,50
1714134003779778853,-19
1714134004340877714,-88
1714134004902007093,-244
1714134005463105954,57
1714134006024235337,31
1714134006585334198,148
1714134007146443233,50
1714134007707562438,50
1714134008268661299,-71
1714134008829760160,57
1714134009390889539,31
1714134009951993491,0
1714134010513117783,21
1714134011074216644,112
1714134011635346023,21
1714134012196444884,-4
1714134012757574263,52
1714134013318678215,-47
1714134013879802507,7
1714134014440901368,-7
1714134015002030747,103
1714134015563129608,71
1714134016124228469,14
1714134016685357852,76
1714134017246456713,28
1714134017807586092,-23
1714134018368684953,71
1714134018929783814,4
1714134019490882675,47
1714134020052012058,74
1714134020613110919,11
1714134021174209780,198
1714134021735308641,-14
1714134022296407502,52
1714134022857506363,206
1714134023418610315,83
1714134023979734607,-9
1714134024540833468,-38
1714134025101932329,-26
1714134025663031190,-198
1714134026224130051,64
1714134026785259434,2
1714134027346358295,-2
1714134027907457156,38
1714134028468556017,0
1714134029029654878,-4
1714134029590784261,-9
1714134030151883122,165
1714134030712981983,74
1714134031274080844,11
1714134031835200053,196
1714134032396304001,62
1714134032957407949,28
1714134033518481379,-148
1714134034079585327,-11
1714134034640689275,43
1714134035201793223,16
1714134035762902254,28
1714134036324001115,57
1714134036885099980,55
1714134037446209015,-71
1714134038007312963,76
1714134038568416911,9
1714134039129525942,-100
1714134039690624803,-19
1714134040251723668,270
1714134040812822529,86
1714134041373921390,-64
1714134041935020251,28
1714134042496119112,50
1714134043057248495,26
1714134043618347356,-2
1714134044179446217,-40
1714134044740545078,-21
1714134045301643939,26
1714134045862742800,33
1714134046423841661,100
1714134046984940526,55
1714134047546039387,-38
1714134048107138248,201
1714134048668237109,-33
1714134049229335970,33
1714134049790434831,-7
1714134050351538783,21
1714134050912663075,69
1714134051473746679,35
1714134052034850627,251
1714134052595959658,88
1714134053157058519,14
1714134053718157384,1224
1714134054279256245,33
1714134054840355106,57
1714134055401474315,76
1714134055962583346,-93
1714134056523651691,79
1714134057084781072,31
1714134057645879933,316
1714134058206978794,28
1714134058768077655,-38
1714134059329176516,83
1714134059890275377,-26
1714134060451374242,76
1714134061012473103,-9
1714134061573571964,67
1714134062134670825,19
1714134062695795121,76
1714134063256899065,-47
1714134063817997930,-335
1714134064379096791,40
1714134064940165134,50
1714134065501263995,74
1714134066062362856,-21
1714134066623461717,172
1714134067184560582,117
1714134067745659443,33
1714134068306758304,21
1714134068867857165,4
1714134069428956026,11
1714134069990054887,28
1714134070551153752,-35
1714134071112283131,76
1714134071673381992,57
1714134072234480853,-67
1714134072795579714,79
1714134073356678575,0
1714134073917777440,-88
1714134074478886475,7
1714134075040005680,19
1714134075601104541,-21
1714134076162203402,9
1714134076723302263,69
1714134077284401128,309
1714134077845479645,19
1714134078406598850,-103
1714134078967687541,59
1714134079528796572,-33
1714134080089864915,129
1714134080650963780,31
1714134081212062641,263
1714134081773161502,-167
1714134082334260363,-7
1714134082895384659,86
1714134083456458085,-2
1714134084017556950,11
1714134084578665985,33
1714134085139754672,-4
1714134085700853533,117
1714134086261952394,76
1714134086823051255,-26
1714134087384150120,191
1714134087945228637,28
1714134088506317324,117
1714134089067416185,50
1714134089628515046,-28
1714134090189583389,222
1714134090750682254,28
1714134091311760771,43
1714134091872849458,-57
1714134092433917801,237
1714134092995016662,76
1714134093556115523,38
1714134094117214388,-186
1714134094678313249,7
1714134095239412110,55
1714134095800510971,-50
1714134096361579314,-16
1714134096922678175,38
1714134097483777040,-59
1714134098044875901,-165
1714134098605944244,21
1714134099167043105,-62
1714134099728136883,23
1714134100289210309,21
1714134100850309174,-38
1714134101411377517,-16
1714134101972476378,64
1714134102533544721,-28
1714134103094643582,105
1714134103655742447,31
1714134104216887085,16
1714134104777909651,148
1714134105338977994,306
1714134105900076855,55
1714134106461145198,-67
1714134107022244059,47
1714134107583342924,83
1714134108144441785,-28
1714134108705540646,62
1714134109266629337,23
1714134109827733285,141
1714134110388806711,23
1714134110949905576,-9
1714134111510973919,342
1714134112072072780,55
1714134112633161471,64
1714134113194239984,23
1714134113755308327,186
1714134114316407192,31
1714134114877485709,11
