time,ecg
1714323942158816000,"[12185, 12406, 12627, 12810, 12921, 13036, 13154, 13241, 13337, 13401, 13429, 13466, 13488, 13513, 13598, 13683, 13676, 13600, 13579, 13631, 13680, 13744, 13725, 13544, 13459, 13521, 13509, 13455, 13450, 13410, 13278, 13198, 13194, 13142, 13038, 12937, 12846, 12787, 12761, 12690, 12554, 12427, 12347, 12298, 12232, 12102, 11982, 11881, 11714, 11538, 11465, 11397, 11244, 11100, 11018, 10931, 10837, 10741, 10602, 10463, 10376, 10287, 10190, 10094, 9953, 9814, 9725, 9628, 9539, 9447, 9315, 9195, 9108]"
1714323942720499790,"[8998, 8890, 8784, 8636, 8518, 8452, 8382, 8297, 8135, 7907, 7775, 7721, 7730, 8043, 8466, 8426, 7718, 6902, 6806, 7034, 6841, 6606, 6622, 6573, 6448, 6406, 6340, 6223, 6154, 6105, 6032, 5966, 5875, 5766, 5708, 5663, 5599, 5550, 5477, 5374, 5294, 5263, 5232, 5171, 5087, 5004, 4946, 4880, 4795, 4694, 4569, 4461, 4388, 4318, 4242, 4174, 4101, 4038, 3993, 3953, 3904, 3840, 3770, 3711, 3657, 3600, 3556, 3499, 3436, 3396, 3367, 3302, 3217]"
1714323943282198838,"[3163, 3123, 3080, 3048, 3015, 2965, 2871, 2747, 2657, 2631, 2617, 2549, 2460, 2429, 2431, 2408, 2377, 2351, 2316, 2283, 2262, 2255, 2236, 2201, 2173, 2149, 2123, 2104, 2093, 2062, 2010, 1963, 1945, 1945, 1923, 1886, 1867, 1850, 1825, 1810, 1792, 1759, 1738, 1721, 1698, 1683, 1662, 1634, 1618, 1599, 1575, 1561, 1540, 1507, 1491, 1484, 1476, 1474, 1448, 1406, 1380, 1357, 1310, 1270, 1255, 1248, 1237, 1220, 1206, 1192, 1159, 1237, 1568]"
1714323943843887714,"[2003, 2144, 1601, 790, 726, 1048, 945, 811, 870, 823, 769, 823, 841, 818, 820, 823, 820, 823, 813, 794, 771, 738, 731, 747, 754, 754, 762, 773, 792, 799, 787, 771, 752, 731, 707, 656, 587, 519, 465, 446, 444, 425, 409, 402, 395, 404, 425, 428, 411, 404, 409, 420, 420, 390, 359, 362, 373, 381, 388, 395, 388, 371, 371, 388, 395, 364, 296, 261, 286, 308, 308, 310, 308]"
1714323944405576590,"[298, 310, 326, 333, 326, 286, 239, 246, 279, 284, 284, 270, 244, 244, 263, 272, 268, 254, 249, 263, 275, 279, 282, 268, 256, 270, 284, 289, 282, 263, 256, 272, 282, 286, 282, 258, 251, 270, 279, 279, 268, 244, 249, 265, 244, 225, 218, 192, 174, 190, 197, 171, 136, 117, 129, 145, 145, 131, 141, 329, 776, 1150, 889, 70, -270, 39, 77, -110, -65, -30, -115, -112, -63]"
1714323944967265466,"[-56, -44, -32, -54, -65, -39, -16, -9, -30, -75, -70, -14, 16, 37, 70, 84, 91, 119, 138, 136, 131, 122, 101, 77, 63, 44, 16, -11, -23, -11, 7, 9, 4, 7, -4, -30, -25, -4, 2, 9, 21, 30, 47, 54, 49, 49, 56, 68, 79, 77, 61, 14, -37, -30, 2, -2, -9, 7, 16, 23, 32, 35, 39, 47, 47, 49, 49, 28, 21, 37, 39, 39, 51]"
1714323945528949258,"[54, 56, 56, 51, 68, 61, 9, 0, 25, 25, 23, 35, 32, 37, 51, 47, 49, 58, 58, 79, 103, 98, 89, 79, 68, 54, 25, 2, 7, -4, -18, 0, 2, -23, 11, 256, 700, 1030, 783, -4, -373, -54, 44, -183, -225, -171, -211, -242, -199, -171, -169, -159, -152, -143, -117, -94, -89, -105, -131, -131, -82, -35, -18, 0, 21, 37, 58, 77, 77, 58, 35, 16, -2]"
1714323946090612702,"[-25, -51, -87, -112, -115, -96, -72, -72, -112, -159, -155, -115, -96, -91, -89, -87, -87, -101, -98, -75, -77, -84, -58, -35, -30, -30, -37, -39, -23, -9, 2, 2, -14, -16, 7, 7, -39, -89, -91, -72, -56, -37, -23, -25, -35, -28, -7, 9, 2, -39, -70, -49, -18, -11, -4, -7, -23, -14, 25, 47, 30, -11, -44, -42, -28, -25, -21, -28, -42, -28, -7, -2, -4]"
1714323946652301578,"[-11, 103, 475, 919, 966, 289, -432, -341, -87, -239, -284, -171, -199, -235, -178, -145, -143, -148, -181, -181, -136, -112, -101, -89, -87, -70, -35, -7, -18, -54, -54, -14, 18, 39, 47, 37, 18, 0, -9, -32, -101, -159, -166, -166, -166, -143, -129, -131, -124, -110, -94, -72, -61, -54, -44, -37, -23, -9, -4, 2, 14, 18, 25, 37, 28, 16, 32, 37, 35, 49, 49, 25, -2]"
1714323947213970110,"[-16, -2, 14, 11, 4, 7, 16, 28, 11, -39, -61, -37, -28, -28, -16, -16, -16, -4, -2, 2, 14, -18, -63, -56, -32, -35, -44, -63, -63, -49, -65, -101, -103, -75, -47, -37, -49, -61, -65, -63, -44, -47, -75, -87, -98, -124, -122, -112, -72, 188, 665, 992, 679, -141, -435, -98, -63, -232, -152, -89, -145, -131, -98, -124, -127, -89, -84, -89, -72, -47, -25, -11, -7]"
1714323947775648812,"[2, 28, 61, 94, 119, 119, 87, 68, 91, 112, 108, 82, 37, -32, -101, -115, -115, -145, -162, -141, -117, -117, -143, -169, -162, -134, -105, -87, -72, -77, -77, -51, -23, -11, -9, -21, -25, -7, 14, 21, 18, 7, 2, 16, 32, 47, 42, 18, 18, 42, 54, 54, 58, 44, 16, 16, 39, 49, 37, 28, 32, 47, 58, 61, 54, 47, 54, 65, 79, 101, 105, 79, 68]"
1714323948337307170,"[75, 72, 72, 68, 44, 28, -7, -37, -28, -68, -134, -49, 254, 651, 860, 484, -289, -486, -119, -77, -230, -176, -131, -164, -129, -82, -84, -98, -105, -105, -101, -110, -115, -112, -105, -82, -49, -23, -9, 4, 25, 54, 77, 91, 89, 51, 11, 7, -4, -44, -84, -110, -127, -131, -127, -124, -124, -117, -112, -110, -89, -70, -65, -63, -54, -37, -16, -14, -18, -14, -25, -70, -103]"
1714323948898965530,"[-94, -79, -82, -91, -112, -122, -136, -169, -169, -150, -131, -112, -108, -105, -91, -84, -72, -56, -56, -61, -49, -35, -11, 11, 7, -4, -11, -21, -14, -2, -9, -2, 11, 7, 11, 11, -25, -23, 188, 625, 1027, 926, 152, -383, -112, 77, -108, -115, -23, -47, -54, -16, -9, -11, 4, 21, 23, 25, 30, 35, 47, 70, 79, 56, 16, 11, 54, 82, 65, 44, 56, 61, 47]"
1714323949460623888,"[18, -32, -82, -115, -143, -159, -159, -159, -178, -218, -249, -225, -185, -181, -195, -204, -211, -204, -204, -209, -206, -204, -197, -174, -155, -152, -162, -181, -185, -162, -138, -134, -143, -145, -129, -108, -94, -91, -94, -89, -75, -58, -47, -39, -44, -49, -35, -14, -7, -2, -11, -21, -2, 14, 18, 23, 2, -51, -79, -82, -79, -77, -79, -79, -61, -39, -21, -7, -7, -7, -2, -4, 0]"
1714323950022282246,"[2, -11, -9, 14, 28, 35, 25, -4, -7, 129, 510, 1008, 1135, 475, -317, -263, 56, -77, -204, -124, -105, -119, -75, -49, -68, -65, -37, -16, 2, 18, 16, 11, 32, 63, 82, 94, 98, 103, 131, 164, 176, 176, 159, 145, 143, 134, 105, 65, 9, -89, -195, -206, -169, -176, -192, -176, -157, -143, -129, -122, -124, -117, -98, -89, -105, -127, -134, -148, -157, -141, -129, -141, -143]"
1714323950583950778,"[-138, -131, -119, -112, -119, -119, -110, -98, -98, -131, -157, -143, -129, -119, -105, -127, -169, -159, -127, -117, -105, -91, -89, -82, -72, -61, -47, -47, -42, -21, -11, -11, 0, 2, 2, 9, 11, 14, 25, 25, 18, -14, -70, -68, -30, -32, -37, -16, 2, 14, 23, 16, 9, 4, -7, -2, 7, 7, 14, 23, 18, 18, 11, 7, 157, 571, 1034, 1084, 411, -268, -127, 129, -51]"
1714323951145604050,"[-143, -63, -70, -84, -42, -35, -61, -82, -82, -56, -37, -32, -25, -21, -4, 7, -4, -11, 9, 28, 49, 84, 103, 91, 82, 82, 82, 70, 35, -4, -44, -108, -174, -223, -289, -350, -350, -324, -298, -263, -258, -270, -232, -190, -192, -188, -159, -150, -157, -159, -141, -87, -61, -79, -75, -51, -51, -47, -37, -49, -61, -49, -21, 7, -25, -87, -75, -37, -32, -23, -14, -30, -16]"
1714323951707257322,"[23, 35, 39, 32, -21, -49, -11, 11, 11, 14, 2, -9, 7, 42, 63, 47, 39, 63, 75, 70, 75, 68, 30, 0, 0, 35, 58, 23, -32, -39, -16, -9, -2, -2, -11, 11, 35, 37, 47, 25, 30, 275, 757, 1114, 879, 65, -355, -32, 110, -82, -70, 23, -21, -25, 32, 21, 0, 9, -21, -18, 44, 75, 75, 42, -7, 21, 87, 77, 72, 124, 155, 145, 148]"
1714323952268915680,"[159, 157, 134, 105, 77, 28, -37, -141, -246, -268, -244, -254, -244, -216, -232, -270, -258, -221, -204, -230, -282, -298, -263, -230, -225, -223, -204, -185, -164, -143, -136, -138, -131, -124, -115, -108, -103, -89, -77, -84, -82, -61, -58, -61, -49, -54, -77, -89, -75, -61, -51, -32, -7, -4, -21, 4, 56, 61, 32, 14, 21, 35, 35, 25, 25, 25, 28, 49, 54, 39, 35, 23, 68]"
1714323952830594384,"[350, 809, 1081, 773, -7, -341, -32, 47, -127, -96, -65, -141, -131, -124, -169, -148, -112, -112, -94, -75, -65, -30, 18, 23, -4, -9, 4, 23, 56, 84, 103, 110, 103, 94, 79, 61, 30, -30, -91, -129, -178, -209, -197, -209, -242, -244, -206, -190, -206, -206, -190, -181, -157, -117, -84, -98, -134, -134, -101, -72, -51, -42, -56, -70, -56, -39, -28, -23, -35, -58, -63, -37, -11]"
