time,rr
1713891072406420000,18607
1713891072967457825,15379
1713891073528526168,6177
1713891074089563993,2311
1713891074650632336,1133
1713891075211670161,238
1713891075772738508,264
1713891076333776333,171
1713891076894844676,299
1713891077455882501,28
1713891078016950844,73
1713891078577988669,119
1713891079139057016,204
1713891079700105015,116
1713891080261163184,11
1713891080822231527,-23
1713891081383269352,-35
1713891081944337695,95
1713891082505406042,26
1713891083066443867,-19
1713891083627512210,126
1713891084188550035,85
1713891084749618378,28
1713891085310656203,90
1713891085871724550,28
1713891086432762375,183
1713891086993830718,73
1713891087554888891,49
1713891088115931803,33
1713891088676974711,23
1713891089238012540,90
1713891089799080883,23
1713891090360118708,38
1713891090921187051,76
1713891091482224876,38
1713891092043293219,78
1713891092604361566,28
1713891093165429909,-26
1713891093726467734,-35
1713891094287536077,180
1713891094848573902,-16
1713891095409642245,121
1713891095970680074,4
1713891096531748417,133
1713891097092786242,52
1713891097653824067,233
1713891098214892410,-78
1713891098775930235,66
1713891099336998582,19
1713891099898036407,176
1713891100459104750,-38
1713891101020142575,57
1713891101581210918,14
1713891102142248743,140
1713891102703317090,78
1713891103264354915,-30
1713891103825423258,-135
1713891104386461083,83
1713891104947529426,78
1713891105508567251,-9
1713891106069605080,-16
1713891106630673423,9
1713891107191711248,271
1713891107752779591,-80
1713891108313817416,59
1713891108874855241,4
1713891109435923588,19
1713891109996961413,107
1713891110558029756,9
1713891111119067581,11
1713891111680135924,107
1713891112241173749,45
1713891112802211578,240
1713891113363279921,-80
1713891113924317746,80
1713891114485386089,35
1713891115046423914,16
1713891115607461739,61
1713891116168530086,88
1713891116729567911,-52
1713891117290605736,111
1713891117851674079,714
1713891118412711904,45
1713891118973749729,40
1713891119534818076,35
1713891120095855901,85
1713891120656924244,-28
1713891121217962069,69
1713891121779030412,80
1713891122340068237,40
1713891122901106066,-99
1713891123462174409,21
1713891124023212234,83
1713891124584250059,83
1713891125145318402,30
1713891125706356227,-23
1713891126267394056,78
1713891126828431881,88
1713891127389500224,85
1713891127950538049,383
1713891128511575874,-197
1713891129072644217,-33
1713891129633682046,83
1713891130194719871,-11
1713891130755788214,209
1713891131316826039,-42
1713891131877894382,-126
1713891132438932207,114
1713891132999970036,-71
1713891133561038379,85
1713891134122076204,52
1713891134683114029,126
1713891135244182372,-268
1713891135805220197,73
1713891136366258026,-9
1713891136927326369,-26
1713891137488364194,-57
1713891138049432537,119
1713891138610470362,-2
1713891139171538705,111
1713891139732576534,202
1713891140293614359,26
1713891140854652184,-119
1713891141415690009,-283
1713891141976758352,578
1713891142537796177,-40
1713891143098834006,164
1713891143659871831,111
1713891144220940174,14
1713891144781977999,166
1713891145343015824,-38
1713891145904053649,85
1713891146465091478,80
1713891147026129303,21
1713891147587197646,19
1713891148148235471,119
1713891148709273296,261
1713891149270311121,35
1713891149831348950,-92
1713891150392386775,-149
1713891150953424600,52
1713891151514462425,140
1713891152075500250,-2
