time,rr
1713890671274371000,16769
1713890671835439343,15810
1713890672396507686,6591
1713890672957576029,2347
1713890673518644372,1006
1713890674079712715,449
1713890674640781062,240
1713890675201849405,304
1713890675762917748,57
1713890676323986091,923
1713890676885054434,130
1713890677446092259,90
1713890678007160606,73
1713890678568228949,33
1713890679129312551,-11
1713890679690335117,61
1713890680251403460,66
1713890680812471803,52
1713890681373540150,133
1713890681934608493,178
1713890682495676836,169
1713890683056745179,149
1713890683617813522,104
1713890684178881865,78
1713890684739950212,57
1713890685301018555,69
1713890685862056380,-59
1713890686423124723,107
1713890686984193066,61
1713890687545261409,214
1713890688106304325,90
1713890688667367581,90
1713890689228435924,190
1713890689789504267,116
1713890690350572610,38
1713890690911640953,202
1713890691472709300,26
1713890692033777643,71
1713890692594815468,14
1713890693155883811,-21
1713890693716952154,92
1713890694278020497,-4
1713890694839088844,-114
1713890695400126669,71
1713890695961195012,4
1713890696522263355,30
1713890697083331698,107
1713890697644400041,66
1713890698205442957,21
1713890698766506213,97
1713890699327574556,0
1713890699888642899,28
1713890700449711242,64
1713890701010779585,223
1713890701571847932,69
1713890702132916275,7
1713890702693984618,216
1713890703255052961,52
1713890703816121304,76
1713890704377189647,-61
1713890704938257994,-16
1713890705499326337,126
1713890706060394680,57
1713890706621432505,23
1713890707182500848,7
1713890707743569191,66
1713890708304637538,-11
1713890708865705881,169
1713890709426774224,937
1713890709987842567,42
1713890710548910910,0
1713890711109979253,99
1713890711671047600,28
1713890712232115943,40
1713890712793153768,26
1713890713354222111,554
1713890713915290454,59
1713890714476358797,78
1713890715037427144,140
1713890715598464969,126
1713890716159533312,111
1713890716720601655,111
1713890717281664915,83
1713890717842707823,26
1713890718403776170,0
1713890718964844513,66
1713890719525912856,16
1713890720086981199,737
1713890720648019024,-2
1713890721209087367,38
1713890721770155714,-9
1713890722331224057,116
1713890722892292400,-21
1713890723453360743,-7
1713890724014398568,9
1713890724575466911,26
1713890725136535258,-4
1713890725697603601,-35
1713890726258671944,16
1713890726819740287,66
1713890727380778112,45
1713890727941846455,57
1713890728502914802,152
1713890729063983145,54
1713890729625051488,-28
1713890730186089313,83
1713890730747157656,90
1713890731308225999,64
1713890731869294346,45
1713890732430332171,-35
1713890732991400514,130
1713890733552468857,47
1713890734113506682,-7
1713890734674575025,130
1713890735235643372,149
1713890735796691371,-61
1713890736357749540,1128
1713890736918817883,85
1713890737479886226,69
1713890738040924051,11
1713890738601992398,183
1713890739163060741,52
1713890739724098566,-85
1713890740285166909,535
1713890740846235252,59
1713890741407273077,-35
1713890741968341424,259
1713890742529389423,-30
1713890743090447592,76
1713890743651515935,54
1713890744212553760,4
1713890744773622103,28
1713890745334659932,2
1713890745895728275,38
1713890746456796618,2
1713890747017834443,202
1713890747578902786,-28
1713890748139940611,14
1713890748701008958,85
1713890749262056957,47
1713890749823115126,-30
1713890750384183469,99
1713890750945251812,45
1713890751506320155,1290
1713890752067357984,76
1713890752628426327,23
1713890753189494670,54
1713890753750532495,42
1713890754311600838,61
1713890754872669181,276
1713890755433707010,614
1713890755994775353,54
1713890756555843696,-38
1713890757116912039,-30
1713890757677980382,64
1713890758239048725,-9
1713890758800117072,252
1713890759361185415,23
1713890759922253758,-11
