time,rr
1714134270975503000,13656
1714134271536540825,14252
1714134272097609168,5749
1714134272658677511,2046
1714134273219745854,678
1714134273780814197,467
1714134274341852026,198
1714134274902920369,98
1714134275463988712,62
1714134276025026537,292
1714134276586094880,91
1714134277147132705,843
1714134277708175621,45
1714134278269238877,112
1714134278830307220,38
1714134279391345045,115
1714134279952413388,26
1714134280513481731,-14
1714134281074550078,594
1714134281635618421,95
1714134282196656246,-9
1714134282757724589,158
1714134283318792932,50
1714134283879861275,55
1714134284440904191,-52
1714134285001967447,268
1714134285563035790,69
1714134286124104133,-11
1714134286685172476,16
1714134287246210301,50
1714134287807278648,23
1714134288368346991,184
1714134288929415334,-69
1714134289490483677,122
1714134290051552020,83
1714134290612620363,67
1714134291173688710,-11
1714134291734757053,129
1714134292295825396,-28
1714134292856893739,35
1714134293417931564,40
1714134293978999907,64
1714134294540073341,-91
1714134295101167115,-2
1714134295662220201,-86
1714134296223293631,76
1714134296784341626,69
1714134297345409969,218
1714134297906478316,23
1714134298467546659,38
1714134299028615002,148
1714134299589673175,431
1714134300150721170,76
1714134300711789513,43
1714134301272857860,2
1714134301833926203,95
1714134302394994546,2
1714134302956062889,-220
1714134303517131232,57
1714134304078199575,-7
1714134304639267922,208
1714134305200305747,43
1714134305761374090,771
1714134306322442433,33
1714134306883510776,52
1714134307444548601,242
1714134308005616948,35
1714134308566654773,-35
1714134309127723116,208
1714134309688791459,-7
1714134310249829284,83
1714134310810897627,4
1714134311371935456,-9
1714134311933003799,88
1714134312494072142,26
1714134313055140485,529
1714134313616178310,64
1714134314177246653,67
1714134314738315000,-57
1714134315299383343,31
1714134315860451686,-4
1714134316421489511,43
1714134316982557854,50
1714134317543626197,33
1714134318104694544,16
1714134318665762887,287
1714134319226831230,26
1714134319787869055,-45
1714134320348937398,55
1714134320909975223,69
1714134321471043570,19
1714134322032111913,282
1714134322593164998,38
1714134323154218081,47
1714134323715255906,47
1714134324276324249,2
1714134324837362078,201
1714134325398399903,802
1714134325959437728,23
1714134326520506071,81
1714134327081543896,234
1714134327642581721,119
1714134328203619550,-69
1714134328764687893,33
1714134329325740979,76
1714134329886794061,148
1714134330447862404,74
1714134331008930747,-7
1714134331569968576,-21
1714134332131036919,134
1714134332692105262,76
1714134333253173605,-148
1714134333814211430,83
1714134334375249255,95
1714134334936317602,117
1714134335497355427,1001
1714134336058423770,-69
1714134336619461595,225
1714134337180529938,-57
1714134337741598281,86
1714134338302641197,172
1714134338863704453,191
1714134339424772796,11
1714134339985810621,4
1714134340546878964,-268
1714134341107916789,95
1714134341668985136,110
1714134342230033135,-23
1714134342791091304,-83
1714134343352159647,-33
1714134343913197472,79
1714134344474265815,-62
1714134345035334162,9
1714134345596402505,-62
1714134346157470848,2
1714134346718529021,103
1714134347279577016,278
1714134347840645359,76
1714134348401713706,64
1714134348962782049,47
1714134349523850392,45
1714134350084918735,103
1714134350645987078,153
1714134351207055421,47
1714134351768123768,7
1714134352329192111,9
1714134352890260454,189
1714134353451298279,117
1714134354012366622,35
1714134354573434965,-7
1714134355134503312,95
1714134355695571655,62
1714134356256639998,40
1714134356817677823,119
1714134357378746166,19
1714134357939814509,47
1714134358500882856,93
1714134359061951199,62
1714134359623019542,11
1714134360184087885,91
1714134360745156228,-91
1714134361306194053,26
1714134361867262400,43
1714134362428330743,11
1714134362989399086,74
1714134363550467429,11
1714134364111535772,-74
1714134364672604115,1068
1714134365233672462,16
1714134365794740805,55
1714134366355778630,-2
1714134366916846973,-40
1714134367477915316,110
1714134368038983659,33
1714134368600052006,-7
1714134369161120349,38
1714134369722188692,-28
1714134370283226517,263
1714134370844289777,67
1714134371405332685,16
1714134371966370514,69
1714134372527438857,14
1714134373088476682,-4
1714134373649545025,74
1714134374210582850,-4
1714134374771651193,57
1714134375332719540,74
1714134375893757365,83
1714134376454825708,4
1714134377015894051,9
1714134377576957311,31
1714134378138000219,218
1714134378699068566,-7
1714134379260106391,-23
1714134379821144216,23
1714134380382212559,-23
1714134380943250384,-52
1714134381504318727,57
1714134382065356556,86
1714134382626424899,64
1714134383187462724,208
1714134383748531067,263
1714134384309599410,7
1714134384870637235,-79
1714134385431705582,249
1714134385992743407,95
1714134386553811750,28
1714134387114849575,975
1714134387675917918,57
1714134388236955743,242
1714134388798024090,57
1714134389359061915,2
1714134389920099740,-9
1714134390481168083,198
1714134391042205908,-131
1714134391603274251,43
1714134392164312080,-88
1714134392725380423,7
1714134393286448766,71
1714134393847486591,-31
1714134394408554934,-43
1714134394969623281,35
1714134395530661106,35
1714134396091729449,31
1714134396652797792,67
1714134397213835617,50
1714134397774903960,81
1714134398335972303,28
1714134398897010132,203
1714134399458078475,26
1714134400019146818,-11
1714134400580184643,112
1714134401141252986,55
1714134401702321329,33
1714134402263359158,67
1714134402824427501,-2
1714134403385495844,11
1714134403946533669,-210
1714134404507602012,35
1714134405068639837,-7
1714134405629708184,177
1714134406190756183,289
1714134406751814352,69
1714134407312882695,74
1714134407873951038,62
1714134408434988863,50
1714134408996057210,206
1714134409557095035,-21
1714134410118163378,45
1714134410679201203,50
1714134411240269546,-4
1714134411801337889,167
1714134412362375718,-2
1714134412923444061,0
1714134413484481886,55
1714134414045550229,7
1714134414606588054,55
1714134415167656397,69
1714134415728694226,-16
1714134416289762569,43
1714134416850815655,16
1714134417411868737,0
1714134417972937080,-2
1714134418533974905,218
1714134419095043252,93
1714134419656111595,43
1714134420217149420,-119
1714134420778217763,11
1714134421339286106,4
1714134421900323931,86
1714134422461392278,-7
1714134423022460621,83
1714134423583498446,186
1714134424144566789,139
1714134424705604614,81
1714134425266672957,-2
1714134425827741304,26
1714134426388809647,79
1714134426949847472,-28
1714134427510915815,-9
1714134428071984158,83
1714134428633021983,16
1714134429194090330,91
1714134429755158673,67
1714134430316227017,105
1714134430877264841,-11
1714134431438302666,67
1714134431999371009,0
1714134432560408838,23
1714134433121477181,88
1714134433682530267,100
1714134434243583349,21
1714134434804651692,45
1714134435365720039,-16
1714134435926757864,2
1714134436487826207,67
1714134437048864032,-33
1714134437609932375,11
1714134438170970200,64
1714134438732038543,45
1714134439293106890,186
1714134439854144715,107
1714134440415213058,-86
1714134440976250883,83
1714134441537293796,50
1714134442098357051,79
1714134442659425398,59
1714134443220463223,-16
1714134443781501048,9
1714134444342569391,64
1714134444903607216,122
1714134445464645041,23
1714134446025713388,105
1714134446586751213,127
1714134447147819556,62
1714134447708857381,-7
1714134448269895206,460
1714134448830963549,81
1714134449392006465,210
1714134449953069721,2
1714134450514107546,55
1714134451075175889,141
1714134451636239149,11
1714134452197282057,57
1714134452758350404,232
1714134453319388229,-4
1714134453880426054,71
1714134454441484227,-21
1714134455002532222,76
