time,rr
1713890375761548000,17878
1713890376322646861,16215
1713890376883730465,6636
1713890377444814065,2299
1713890378005938361,911
1713890378567042309,299
1713890379128141170,285
1713890379689240031,107
1713890380250338892,114
1713890380811437753,109
1713890381372536614,-16
1713890381933635475,-61
1713890382494734340,69
1713890383055833201,252
1713890383616932062,97
1713890384178030923,-28
1713890384739129784,88
1713890385300228645,97
1713890385861327510,33
1713890386422426371,342
1713890386983525232,35
1713890387544613923,114
1713890388105692436,64
1713890388666791297,-38
1713890389227890162,9
1713890389788958505,-19
1713890390350026848,102
1713890390911125709,114
1713890391472219487,-45
1713890392033292913,42
1713890392594391778,16
1713890393155460121,-80
1713890393716558982,16
1713890394277647673,316
1713890394838726186,133
1713890395399825047,49
1713890395960923912,59
1713890396522022773,47
1713890397083121634,-14
1713890397644220495,64
1713890398205319356,92
1713890398766418217,73
1713890399327522169,-35
1713890399888615943,-47
1713890400449730065,85
1713890401010844183,76
1713890401571943044,-23
1713890402133041909,78
1713890402694140770,69
1713890403255219287,204
1713890403816338492,721
1713890404377437353,42
1713890404938531131,-30
1713890405499635079,-38
1713890406060733940,66
1713890406621802283,2
1713890407182901144,-130
1713890407744000005,42
1713890408305098866,-21
1713890408866197731,-26
1713890409427296592,47
1713890409988395453,21
1713890410549463796,-71
1713890411110562657,45
1713890411671661518,192
1713890412232760379,57
1713890412793859244,78
1713890413354958105,59
1713890413916056966,-7
1713890414477155827,-73
1713890415038249605,26
1713890415599323031,16
1713890416160421896,42
1713890416721520757,176
1713890417282619618,-2
1713890417843718479,-9
1713890418404817340,64
1713890418965916205,-9
1713890419526984548,123
1713890420088083409,21
1713890420649182270,-38
1713890421210270961,49
1713890421771349474,19
1713890422332417817,-49
1713890422893516682,52
1713890423454595199,14
1713890424015683886,16
1713890424576782747,166
1713890425137851090,-45
1713890425698919433,30
1713890426259987780,-30
1713890426821086641,49
1713890427382170245,92
1713890427943253845,-19
1713890428504322188,949
1713890429065421049,26
1713890429626489396,188
1713890430187588257,73
1713890430748671861,28
1713890431309755461,19
1713890431870854322,71
1713890432431922665,49
1713890432993021530,66
1713890433554120391,195
1713890434115188734,1071
1713890434676287595,49
1713890435237355938,-64
1713890435798454799,7
1713890436359523146,92
1713890436920622007,33
1713890437481690350,-33
1713890438042789211,64
1713890438603857554,4
1713890439164925897,23
1713890439726024762,73
1713890440287093105,57
1713890440848191966,85
1713890441409260309,-11
1713890441970359170,-4
1713890442531427513,38
1713890443092500947,199
1713890443653594721,80
1713890444214663064,-64
1713890444775731407,-126
1713890445336830268,52
1713890445897898611,28
1713890446458997476,73
1713890447020065819,28
1713890447581164680,214
1713890448142273715,66
1713890448703331884,-19
1713890449264400227,45
1713890449825468574,7
1713890450386567435,23
1713890450947635778,42
1713890451508734639,-40
1713890452069833500,59
1713890452630901843,-2
1713890453192000708,23
1713890453753069051,21
1713890454314137394,-142
1713890454875236255,57
1713890455436304598,-61
1713890455997403459,66
1713890456558471806,19
1713890457119540149,23
1713890457680623753,71
1713890458241707353,164
1713890458802775696,66
1713890459363844039,-19
1713890459924942904,-35
1713890460486011247,-11
1713890461047110108,14
1713890461608178451,11
1713890462169246794,33
1713890462730345659,54
1713890463291414002,-11
1713890463852482345,9
1713890464413581206,-45
1713890464974649549,54
1713890465535748410,35
1713890466096816753,30
1713890466657890187,80
1713890467218983961,-54
1713890467780052304,9
1713890468341120647,33
1713890468902219508,40
1713890469463287851,173
1713890470024356198,2
1713890470585434715,35
1713890471146523402,128
1713890471707591745,80
1713890472268660088,40
1713890472829758953,402
1713890473390827296,-9
1713890473951895639,73
1713890474512994500,9
1713890475074062843,-116
1713890475635156621,1187
1713890476196230047,45
1713890476757303481,76
1713890477318397255,92
1713890477879465598,-16
1713890478440554289,73
1713890479001632802,47
1713890479562701145,16
1713890480123800010,97
1713890480684868353,21
1713890481245936696,-16
1713890481807005039,73
1713890482368098817,26
1713890482929172243,30
1713890483490240590,85
1713890484051308933,73
1713890484612377276,28
1713890485173445619,42
1713890485734539397,-23
1713890486295612823,45
1713890486856681170,-2
1713890487417749513,66
1713890487978817856,204
1713890488539886199,71
1713890489100954542,-4
1713890489662022885,595
1713890490223091232,11
1713890490784159575,154
1713890491345227918,-90
1713890491906296261,4
1713890492467364604,-4
1713890493028432947,-16
1713890493589501294,88
1713890494150569637,-80
1713890494711637980,-47
1713890495272706323,38
1713890495833774666,35
1713890496394843009,-33
1713890496955911356,47
1713890497516979699,47
1713890498078048042,183
1713890498639116385,285
1713890499200184728,28
1713890499761283593,195
1713890500322351936,42
1713890500883420279,42
1713890501444488622,159
1713890502005587483,59
1713890502566655826,-2
1713890503127724169,80
1713890503688797603,0
1713890504249871033,42
1713890504810959720,19
1713890505372028063,7
1713890505933096406,97
1713890506494164749,26
1713890507055233096,368
1713890507616301439,57
1713890508177369782,26
1713890508738458473,9
1713890509299531903,-52
1713890509860605329,49
1713890510421673676,76
1713890510982752193,-21
1713890511543840880,85
1713890512104909223,30
1713890512665977566,26
1713890513227076427,78
1713890513788144774,52
1713890514349213117,14
1713890514910281460,-26
1713890515471349803,-2
1713890516032443581,-7
1713890516593517007,9
