time,ecg
1713890375761548000,"[17326, 17878, 18376, 18812, 19200, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19497, 19388, 19276, 19138, 19016, 18890, 18704, 18497, 18347, 18233, 18097, 17914, 17729, 17586, 17448, 17300, 17164, 16986, 16793, 16648, 16507]"
1713890376322646861,"[16357, 16215, 16034, 15848, 15705, 15562, 15415, 15272, 15089, 14905, 14763, 14627, 14503, 14353, 14122, 13963, 13891, 13739, 13520, 13351, 13199, 13032, 12892, 12765, 12627, 12482, 12327, 12170, 12001, 11849, 11925, 12337, 12706, 12423, 11449, 10799, 10880, 10828, 10514, 10409, 10364, 10207, 10083, 9988, 9857, 9730, 9630, 9528, 9428, 9323, 9176, 9045, 8962, 8871, 8759, 8657, 8566, 8474, 8395, 8324, 8236, 8145, 8057, 7964, 7867, 7760, 7621, 7467, 7314, 7169, 7048, 6936, 6819]"
1713890376883730465,"[6724, 6636, 6541, 6453, 6360, 6265, 6193, 6117, 6022, 5936, 5841, 5715, 5624, 5553, 5467, 5403, 5336, 5258, 5193, 5129, 5055, 4994, 4934, 4863, 4772, 4677, 4617, 4575, 4515, 4456, 4406, 4346, 4287, 4237, 4177, 4120, 4075, 4025, 3968, 3925, 3870, 3801, 3751, 3710, 3661, 3613, 3561, 3511, 3470, 3425, 3387, 3361, 3332, 3292, 3237, 3168, 3115, 3082, 3039, 2999, 2965, 2923, 2877, 2839, 2782, 2711, 2787, 3206, 3751, 3739, 2956, 2325, 2413]"
1713890377444814065,"[2494, 2299, 2268, 2316, 2261, 2223, 2225, 2178, 2120, 2109, 2106, 2080, 2056, 2039, 2020, 2009, 1992, 1951, 1918, 1920, 1925, 1930, 1947, 1954, 1947, 1935, 1920, 1899, 1861, 1797, 1711, 1613, 1521, 1461, 1430, 1399, 1363, 1342, 1328, 1309, 1287, 1266, 1237, 1223, 1221, 1213, 1206, 1199, 1183, 1166, 1164, 1161, 1152, 1142, 1121, 1104, 1102, 1097, 1085, 1073, 1052, 1035, 1033, 1016, 992, 980, 971, 959, 959, 956, 947, 935, 921]"
1713890378005938361,"[909, 911, 909, 902, 885, 864, 854, 852, 835, 802, 768, 766, 783, 783, 761, 740, 726, 714, 714, 716, 716, 714, 697, 671, 640, 609, 754, 1285, 1880, 1782, 921, 380, 583, 666, 483, 499, 571, 535, 530, 561, 549, 540, 557, 566, 566, 571, 568, 568, 578, 590, 599, 606, 614, 623, 633, 642, 664, 680, 666, 654, 654, 642, 595, 533, 468, 407, 366, 340, 314, 302, 299, 297, 299]"
1713890378567042309,"[309, 299, 273, 268, 283, 292, 297, 290, 266, 261, 276, 285, 288, 283, 276, 278, 285, 290, 295, 295, 292, 297, 302, 307, 311, 311, 311, 316, 314, 314, 318, 321, 318, 318, 318, 321, 323, 321, 318, 321, 318, 321, 323, 318, 316, 309, 290, 290, 299, 295, 295, 299, 297, 295, 297, 290, 290, 290, 297, 321, 335, 326, 311, 295, 280, 278, 278, 259, 233, 223, 233, 233, 204]"
1713890379128141170,"[164, 285, 778, 1413, 1454, 609, -90, 61, 226, 47, 40, 133, 104, 99, 142, 142, 138, 157, 173, 180, 192, 197, 202, 211, 228, 242, 257, 268, 283, 304, 330, 359, 376, 383, 385, 383, 366, 330, 283, 228, 180, 140, 109, 90, 88, 80, 76, 85, 88, 80, 80, 71, 59, 69, 83, 88, 92, 90, 88, 95, 83, 57, 57, 66, 64, 73, 90, 92, 80, 64, 66, 85, 95]"
1713890379689240031,"[99, 107, 102, 104, 119, 126, 130, 123, 97, 83, 104, 119, 119, 119, 116, 119, 133, 142, 147, 145, 138, 142, 157, 164, 166, 164, 154, 147, 140, 145, 157, 149, 140, 149, 159, 159, 157, 157, 166, 195, 214, 207, 185, 164, 149, 157, 166, 169, 169, 161, 157, 154, 121, 92, 309, 897, 1382, 1061, 178, -149, 90, 71, -71, 7, 57, 19, 35, 61, 52, 66, 90, 102, 104]"
1713890380250338892,"[107, 114, 128, 145, 157, 164, 173, 188, 209, 238, 259, 259, 254, 266, 280, 283, 271, 233, 169, 102, 61, 45, 23, 4, 4, 11, 16, 26, 35, 40, 40, 47, 61, 71, 71, 71, 78, 83, 85, 95, 97, 92, 92, 95, 95, 85, 54, 42, 59, 69, 54, 42, 42, 52, 59, 57, 66, 76, 71, 73, 83, 83, 88, 92, 88, 90, 97, 99, 102, 107, 99, 102, 111]"
1713890380811437753,"[111, 109, 109, 109, 116, 121, 116, 109, 88, 57, 42, 49, 64, 92, 114, 107, 92, 78, 73, 78, 78, 78, 88, 90, 88, 90, 64, 28, 171, 661, 1221, 1183, 407, -152, 14, 123, -42, -33, 33, -28, -49, -7, -16, -30, 0, 19, 30, 45, 52, 57, 73, 90, 109, 128, 145, 161, 188, 221, 252, 273, 283, 283, 280, 276, 242, 183, 119, 64, 30, 11, 0, -4, -4]"
1713890381372536614,"[-9, -16, -16, -11, -21, -23, -14, 0, 11, 14, 2, -23, -47, -47, -30, -23, -23, -28, -28, -16, -7, 0, 2, -4, -4, 7, 16, 23, 26, 23, 26, 16, -14, -28, -21, -19, -14, 4, 16, 23, 26, 23, 28, 45, 52, 57, 57, 49, 49, 66, 92, 121, 126, 107, 90, 88, 90, 92, 88, 80, 88, 102, 107, 102, 61, 23, 245, 840, 1349, 1071, 185, -188, 69]"
1713890381933635475,"[90, -61, 0, 42, -7, 11, 54, 49, 42, 28, 23, 47, 66, 71, 78, 83, 90, 114, 138, 159, 176, 195, 218, 245, 247, 230, 233, 235, 211, 176, 133, 83, 38, 7, -9, -14, -9, -4, -7, -16, -19, -4, 7, 11, 14, 14, 7, 7, 11, 2, -2, 4, 7, 9, 19, 19, 7, 0, 7, 16, 21, 23, 26, 30, 33, 42, 49, 49, 49, 54, 57, 61, 69]"
1713890382494734340,"[69, 69, 73, 73, 78, 78, 59, 47, 59, 66, 66, 73, 73, 76, 73, 59, 40, 21, 9, 23, 38, 33, 35, 42, 52, 83, 107, 107, 95, 78, 66, 73, 80, 78, 83, 88, 88, 92, 78, 28, 92, 514, 1175, 1404, 718, -92, -92, 119, -28, -78, 23, 9, -19, 19, 33, 33, 49, 59, 59, 66, 80, 95, 104, 109, 116, 130, 149, 173, 192, 211, 228, 242, 249]"
1713890383055833201,"[249, 252, 240, 209, 164, 107, 35, -23, -61, -109, -140, -123, -107, -107, -111, -123, -123, -97, -78, -76, -73, -66, -52, -38, -26, -21, -21, -19, -9, 2, 9, 14, 11, 14, 23, 35, 40, 40, 23, 19, 35, 47, 47, 49, 47, 47, 57, 69, 73, 71, 64, 64, 76, 85, 88, 88, 83, 83, 92, 97, 97, 97, 95, 97, 107, 111, 111, 104, 90, 83, 80, 95, 128]"
1713890383616932062,"[135, 97, 47, 40, 57, 66, 61, 54, 64, 78, 83, 64, 4, 16, 352, 954, 1240, 716, -57, -145, 88, 2, -80, 4, 7, -33, 4, 35, 33, 28, 19, 23, 54, 80, 95, 102, 107, 116, 135, 157, 178, 195, 209, 226, 247, 266, 271, 259, 235, 209, 171, 130, 85, 35, -7, -30, -40, -52, -54, -52, -57, -64, -66, -52, -42, -47, -57, -76, -85, -64, -49, -49, -42]"
