time,ecg
1714134270975503000,"[13181, 13656, 14113, 14533, 14899, 15259, 15630, 15968, 16251, 16520, 16781, 17023, 17263, 17483, 17665, 17831, 17986, 18137, 18288, 18401, 18494, 18581, 18645, 18715, 18801, 18842, 18875, 18940, 18926, 18885, 18952, 18947, 18820, 18789, 18796, 18746, 18701, 18653, 18590, 18533, 18466, 18423, 18351, 18212, 18104, 18027, 17907, 17809, 17723, 17593, 17478, 17380, 17239, 17128, 17222, 17603, 17960, 17588, 16532, 16045, 16275, 16143, 15801, 15750, 15664, 15463, 15350, 15249, 15074, 14902, 14782, 14662, 14504]"
1714134271536540825,"[14353, 14252, 14125, 13977, 13857, 13720, 13591, 13473, 13313, 13188, 13100, 12913, 12723, 12618, 12474, 12280, 12093, 11894, 11717, 11547, 11348, 11194, 11101, 10952, 10753, 10626, 10530, 10401, 10279, 10156, 10025, 9924, 9833, 9704, 9569, 9457, 9354, 9258, 9145, 9013, 8903, 8805, 8692, 8582, 8484, 8381, 8266, 8146, 8057, 7976, 7868, 7733, 7614, 7527, 7439, 7350, 7261, 7161, 7062, 6974, 6897, 6840, 6756, 6629, 6516, 6434, 6351, 6269, 6188, 6097, 6013, 5946, 5869]"
1714134272097609168,"[5775, 5749, 5982, 6432, 6562, 5883, 5064, 5064, 5282, 5054, 4893, 4932, 4862, 4764, 4726, 4683, 4608, 4524, 4464, 4424, 4366, 4313, 4270, 4222, 4189, 4150, 4105, 4076, 4057, 4028, 4000, 3949, 3882, 3827, 3762, 3674, 3575, 3451, 3336, 3259, 3192, 3122, 3060, 2995, 2952, 2923, 2897, 2868, 2830, 2787, 2753, 2732, 2710, 2684, 2645, 2609, 2585, 2559, 2533, 2511, 2480, 2434, 2406, 2391, 2358, 2322, 2300, 2264, 2224, 2207, 2185, 2149, 2116]"
1714134272658677511,"[2087, 2046, 2010, 1998, 1979, 1948, 1924, 1895, 1874, 1859, 1831, 1797, 1771, 1723, 1692, 1687, 1656, 1603, 1579, 1572, 1565, 1545, 1505, 1488, 1730, 2322, 2763, 2324, 1330, 1085, 1466, 1409, 1205, 1277, 1291, 1212, 1229, 1255, 1231, 1217, 1217, 1210, 1200, 1200, 1205, 1203, 1198, 1205, 1205, 1210, 1227, 1234, 1234, 1241, 1224, 1195, 1181, 1157, 1102, 1028, 958, 903, 865, 829, 783, 740, 716, 702, 692, 685, 680, 680, 678]"
1714134273219745854,"[678, 678, 659, 632, 630, 630, 625, 627, 608, 584, 591, 601, 596, 587, 579, 584, 589, 579, 582, 587, 572, 570, 579, 565, 544, 536, 541, 539, 536, 539, 539, 532, 524, 539, 558, 570, 563, 534, 512, 512, 505, 498, 498, 496, 491, 496, 491, 460, 522, 922, 1543, 1732, 1004, 172, 273, 565, 369, 285, 409, 388, 342, 383, 395, 383, 397, 409, 400, 383, 371, 381, 402, 409, 421]"
1714134273780814197,"[445, 467, 488, 512, 517, 488, 469, 481, 481, 455, 412, 345, 282, 249, 218, 167, 136, 127, 115, 117, 139, 141, 134, 141, 155, 162, 170, 174, 172, 174, 189, 196, 196, 194, 198, 203, 206, 210, 218, 218, 215, 210, 210, 220, 222, 222, 220, 203, 196, 213, 225, 213, 201, 215, 227, 218, 220, 237, 220, 198, 191, 196, 225, 242, 215, 179, 179, 191, 191, 189, 189, 189, 203]"
1714134274341852026,"[218, 198, 201, 455, 1013, 1380, 917, 19, -141, 230, 184, 28, 129, 172, 112, 131, 177, 174, 172, 186, 189, 189, 208, 234, 261, 268, 270, 287, 313, 340, 361, 378, 385, 385, 381, 385, 371, 304, 220, 158, 115, 88, 69, 55, 40, 35, 40, 38, 31, 28, 21, 16, 9, -4, 7, 23, 23, 26, 40, 52, 57, 57, 62, 76, 88, 88, 83, 83, 88, 86, 81, 79, 83]"
1714134274902920369,"[93, 98, 100, 110, 129, 143, 155, 155, 129, 110, 119, 107, 81, 88, 105, 112, 115, 110, 105, 206, 606, 1171, 1234, 431, -242, 21, 273, 57, 26, 136, 100, 79, 124, 129, 122, 141, 155, 160, 167, 179, 198, 213, 232, 249, 258, 258, 256, 275, 309, 313, 304, 311, 301, 261, 206, 153, 100, 64, 43, 31, 26, 16, 4, 4, 11, 23, 40, 31, 21, 33, 38, 40, 62]"
1714134275463988712,"[69, 62, 67, 74, 57, 47, 52, 33, 4, -2, 7, 14, 16, 14, 11, 14, 26, 35, 35, 38, 31, 21, 35, 57, 52, 43, 55, 83, 110, 122, 100, 74, 67, 67, 76, 88, 91, 81, 62, 45, 33, 124, 556, 1207, 1368, 570, -237, -64, 218, -4, -69, 69, 45, -2, 43, 55, 47, 69, 86, 93, 105, 112, 119, 141, 167, 186, 201, 218, 232, 261, 294, 301, 289]"
1714134276025026537,"[285, 292, 278, 220, 170, 112, 16, -16, 23, 11, -26, -14, 2, -4, -9, -16, -26, -14, -4, -4, 7, 28, 31, 21, 11, 7, 11, 16, 14, -2, -31, -47, -52, -43, -23, -23, -26, -11, 7, 19, 16, -4, -11, 7, 7, 7, 28, 35, 52, 59, 33, 23, 45, 50, 31, 31, 52, 71, 83, 50, 19, 251, 848, 1313, 944, 14, -237, 153, 143, -50, 33, 83, 31]"
1714134276586094880,"[55, 91, 74, 59, 69, 86, 100, 110, 110, 107, 117, 141, 153, 174, 210, 227, 237, 251, 266, 263, 261, 244, 198, 127, 57, 9, -7, -19, -28, -33, -33, -19, 2, 4, -23, -28, -4, -4, -23, -14, 9, 16, 19, 31, 43, 45, 26, 9, 16, 21, 7, 7, 16, 19, 21, 26, 19, 19, 45, 74, 76, 40, 19, 35, 38, 26, 35, 26, 9, 28, 45, 33, 86]"
1714134277147132705,"[369, 843, 1052, 532, -201, -182, 136, 16, -83, 35, 47, 7, 43, 64, 47, 50, 57, 50, 55, 83, 112, 124, 131, 150, 182, 213, 227, 230, 256, 278, 261, 258, 268, 225, 160, 107, 57, 26, 16, 9, -4, -4, 2, 16, 35, 35, 33, 45, 55, 59, 69, 69, 83, 100, 95, 100, 112, 93, 81, 98, 98, 93, 100, 91, 71, 93, 119, 91, 57, 67, 67, 50, 47]"
1714134277708175621,"[50, 45, 40, 21, 7, 115, 433, 778, 728, 143, -330, -146, 105, 0, -47, 31, 19, -9, 21, 38, 33, 47, 69, 93, 115, 124, 136, 153, 167, 196, 234, 258, 268, 285, 304, 316, 318, 304, 263, 210, 158, 110, 74, 50, 23, 14, 23, 28, 19, 19, 23, 21, 26, 40, 47, 50, 55, 62, 74, 88, 107, 117, 107, 103, 117, 124, 119, 119, 117, 115, 119, 129, 131]"
1714134278269238877,"[129, 112, 93, 103, 117, 95, 86, 86, 62, 62, 86, 88, 71, 52, 57, 88, 270, 695, 1025, 711, -52, -251, 103, 124, -47, 16, 57, -2, 7, 33, 19, 19, 45, 55, 62, 86, 100, 100, 112, 131, 139, 150, 177, 198, 210, 230, 246, 234, 210, 191, 146, 86, 50, 19, -9, -16, -19, -19, -11, -4, 0, 4, 14, 31, 35, 35, 47, 43, 11, 9, 35, 35, 28]"
1714134278830307220,"[38, 38, 43, 59, 57, 52, 59, 57, 59, 59, 40, 35, 59, 62, 52, 59, 69, 71, 69, 71, 81, 88, 88, 88, 93, 98, 100, 95, 95, 107, 105, 79, 64, 59, 57, 79, 103, 105, 86, 59, 47, 57, 64, 47, 33, 28, 26, 33, 21, 62, 393, 1018, 1373, 793, -155, -215, 141, 0, -127, 9, -4, -91, -47, -23, -45, -16, 9, 2, 16, 40, 52, 74, 100]"
1714134279391345045,"[110, 115, 141, 177, 203, 222, 222, 201, 196, 215, 206, 160, 110, 59, 21, 0, -7, -14, -23, -26, -14, -2, -7, -11, -11, -4, 14, 28, 28, 33, 38, 35, 45, 57, 62, 64, 55, 52, 71, 81, 76, 76, 74, 71, 81, 91, 93, 88, 81, 86, 98, 103, 91, 59, 19, 4, 16, 28, 31, 26, 21, 33, 47, 47, 40, 28, 16, 4, 7, 14, 16, 11, 4]"
1714134279952413388,"[9, 26, 40, 40, 31, 31, 40, 47, 50, 62, 67, 47, 28, 11, 2, 9, 9, 4, 16, 31, 38, 28, 14, 179, 702, 1284, 1227, 318, -311, -26, 136, -83, -62, 38, -19, -31, 26, 26, 16, 40, 50, 52, 71, 81, 86, 83, 74, 86, 122, 146, 165, 191, 213, 220, 225, 232, 225, 184, 134, 103, 64, 26, 2, -33, -57, -35, -19, -33, -28, -14, -16, -11, 4]"
1714134280513481731,"[7, -14, -28, -23, -33, -45, -40, -50, -67, -55, -50, -69, -62, -43, -62, -71, -62, -59, -52, -38, -38, -38, -28, -19, -14, -9, -4, 0, 2, 7, 19, 21, 16, 23, 33, 35, 43, 40, 26, 2, -9, 11, 23, 7, 7, 28, 31, 23, 33, 62, 88, 83, 62, 64, 67, 69, 79, 83, 86, 91, 98, 110, 103, 81, 74, 74, 67, 64, 52, 38, 57, 86, 91]"
1714134281074550078,"[225, 594, 937, 805, 119, -297, -2, 158, -26, -19, 74, 47, 26, 52, 57, 55, 62, 67, 74, 91, 103, 110, 107, 105, 134, 160, 167, 177, 182, 191, 206, 198, 174, 155, 136, 98, 55, 31, -4, -50, -67, -69, -67, -43, -33, -50, -45, -19, -2, 9, 11, 7, 16, 28, 33, 47, 64, 55, 40, 40, 45, 57, 67, 55, 59, 83, 95, 91, 83, 71, 69, 88, 91]"
1714134281635618421,"[86, 95, 98, 93, 103, 107, 107, 103, 83, 76, 95, 103, 95, 91, 86, 88, 103, 107, 91, 62, 59, 95, 115, 74, 16, 7, 19, 16, 14, 19, 14, 2, 4, 105, 402, 762, 781, 237, -316, -165, 143, 28, -40, 59, 45, 11, 64, 86, 67, 74, 81, 69, 81, 110, 119, 122, 134, 162, 196, 230, 256, 278, 292, 306, 316, 323, 309, 270, 220, 165, 100, 45, 14]"
1714134282196656246,"[-4, -9, -4, -4, -4, -4, -14, -9, 9, 4, -19, -31, -28, -16, 0, 11, 9, -4, -9, 2, 16, 21, 26, 26, 31, 38, 38, 43, 40, 26, 21, 31, 40, 47, 55, 57, 57, 55, 67, 74, 40, -2, -19, -14, -7, -4, 0, 9, 11, 4, 16, 148, 512, 879, 766, 81, -354, -38, 167, -31, -16, 117, 71, 33, 81, 81, 59, 91, 115, 98, 110, 143, 148]"
1714134282757724589,"[148, 158, 162, 186, 239, 261, 254, 275, 309, 294, 261, 254, 222, 136, 52, 11, -7, -33, -57, -52, -38, -40, -35, -21, -11, -9, -11, -2, 28, 38, 23, 31, 47, 35, 21, 38, 47, 43, 50, 62, 59, 64, 62, 40, 40, 64, 76, 86, 64, 28, 50, 74, 88, 119, 110, 67, 64, 83, 95, 98, 81, 83, 119, 129, 100, 79, 38, -11, 9, 79, 93, 35, 0]"
1714134283318792932,"[28, 50, -9, -38, 201, 666, 973, 618, -162, -313, 52, 16, -148, -47, -4, -67, -52, -26, -23, 19, 40, 28, 47, 55, 26, 40, 83, 95, 103, 134, 184, 206, 213, 246, 254, 222, 227, 254, 210, 136, 124, 86, 4, 2, 26, 14, 2, -16, -19, 26, 59, 47, 33, 35, 40, 38, 31, 31, 33, 26, 28, 55, 76, 71, 55, 50, 40, 19, 19, 38, 40, 31, 38]"
1714134283879861275,"[52, 55, 50, 47, 62, 79, 79, 74, 59, 40, 33, 43, 67, 95, 110, 81, 50, 45, 50, 52, 57, 64, 59, 57, 64, 52, 35, 215, 704, 1159, 961, 139, -256, 50, 127, -59, -19, 35, -19, -7, 26, 11, 21, 40, 40, 38, 28, 9, 14, 26, 35, 57, 83, 107, 134, 150, 165, 182, 184, 162, 122, 88, 55, 4, -45, -71, -86, -95, -93, -93, -98, -79, -50]"
1714134284440904191,"[-47, -52, -40, -21, -11, -16, -23, -14, -7, -2, 2, 2, -9, -9, 0, 4, 11, 16, 11, 19, 35, 38, 35, 38, 35, 50, 64, 59, 62, 69, 71, 88, 110, 107, 88, 71, 69, 64, 50, 43, 50, 62, 71, 62, 45, 136, 493, 949, 961, 309, -230, -26, 158, -33, -50, 62, 33, 9, 55, 59, 55, 76, 88, 88, 95, 110, 127, 146, 158, 167, 177, 194, 225]"
1714134285001967447,"[254, 268, 275, 275, 268, 258, 237, 184, 107, 35, -2, -9, -19, -43, -62, -67, -55, -43, -28, -21, -26, -26, -14, -14, -14, -14, -26, -31, -21, -26, -35, -26, -26, -31, -21, -11, 0, 7, -2, -4, 14, 26, 28, 31, 33, 31, 21, 7, 2, 2, -2, 2, 19, 31, 38, 40, 33, 31, 131, 491, 977, 1008, 285, -294, -50, 167, -21, -43, 55, 26, 16, 64, 69]"
