time,ecg
1714325422678457000,"[13074, 13598, 14085, 14534, 14941, 15322, 15680, 15985, 16272, 16557, 16783, 16973, 17189, 17415, 17625, 17810, 17966, 18104, 18253, 18403, 18532, 18648, 18730, 18786, 18864, 18991, 19087, 19045, 18991, 19040, 19069, 19052, 19076, 19078, 19010, 18949, 18927, 18897, 18857, 18803, 18711, 18619, 18563, 18499, 18441, 18370, 18229, 18093, 18001, 17902, 17810, 17702, 17547, 17422, 17326, 17211, 17121, 17020, 16815, 16710, 16987, 17413, 17380, 16550, 15649, 15625, 15807, 15517, 15310, 15270, 15080, 14920, 14840]"
1714325423239566035,"[14687, 14544, 14402, 14217, 14071, 13960, 13831, 13702, 13556, 13396, 13271, 13165, 13069, 12970, 12787, 12603, 12523, 12401, 12227, 12086, 11881, 11667, 11524, 11361, 11194, 11049, 10886, 10731, 10611, 10501, 10381, 10261, 10134, 10002, 9894, 9793, 9687, 9576, 9452, 9334, 9235, 9130, 9024, 8911, 8791, 8683, 8579, 8480, 8384, 8273, 8142, 8024, 7939, 7848, 7744, 7643, 7540, 7439, 7354, 7267, 7173, 7074, 6980, 6891, 6804, 6724, 6637, 6540, 6460, 6387, 6321, 6258, 6161]"
1714325423800685240,"[6056, 5964, 5884, 5816, 5745, 5663, 5585, 5512, 5435, 5336, 5240, 5225, 5439, 5882, 6119, 5604, 4673, 4409, 4692, 4612, 4386, 4419, 4402, 4287, 4247, 4209, 4139, 4089, 4038, 3981, 3937, 3897, 3852, 3812, 3777, 3737, 3706, 3678, 3643, 3624, 3591, 3539, 3504, 3466, 3414, 3365, 3299, 3226, 3149, 3069, 3003, 2942, 2885, 2838, 2803, 2770, 2732, 2704, 2674, 2643, 2622, 2589, 2556, 2532, 2502, 2478, 2455, 2422, 2394, 2365, 2337, 2309, 2269]"
1714325424361814619,"[2224, 2199, 2175, 2147, 2109, 2067, 2020, 1992, 1956, 1914, 1905, 1895, 1865, 1843, 1825, 1803, 1792, 1775, 1752, 1728, 1709, 1698, 1681, 1662, 1639, 1615, 1601, 1587, 1575, 1559, 1531, 1505, 1479, 1472, 1479, 1474, 1462, 1432, 1385, 1349, 1333, 1326, 1305, 1279, 1272, 1262, 1251, 1234, 1199, 1234, 1538, 2074, 2368, 1881, 987, 790, 1112, 1053, 884, 961, 980, 907, 921, 936, 903, 903, 905, 893, 898, 900, 886, 856, 851]"
1714325424922938915,"[865, 877, 889, 903, 905, 886, 872, 889, 900, 889, 874, 841, 804, 776, 738, 705, 674, 642, 627, 627, 630, 625, 609, 599, 604, 616, 620, 618, 618, 609, 609, 620, 620, 618, 611, 599, 602, 604, 602, 604, 592, 580, 573, 576, 580, 573, 562, 552, 552, 559, 555, 547, 540, 529, 517, 503, 503, 508, 493, 489, 496, 493, 493, 482, 449, 432, 444, 458, 456, 449, 442, 420, 413]"
1714325425484042859,"[420, 420, 416, 406, 402, 404, 409, 406, 378, 352, 362, 373, 383, 376, 357, 338, 305, 286, 303, 305, 296, 296, 303, 305, 303, 298, 282, 378, 764, 1277, 1408, 801, 49, 72, 366, 249, 169, 286, 282, 223, 235, 242, 246, 298, 336, 301, 272, 286, 291, 291, 326, 364, 359, 362, 390, 395, 378, 373, 390, 402, 388, 373, 362, 336, 305, 265, 228, 206, 192, 185, 178, 178, 183]"
1714325426045172242,"[178, 192, 206, 197, 178, 159, 150, 171, 188, 185, 192, 202, 199, 202, 206, 204, 211, 228, 228, 218, 216, 218, 221, 216, 214, 223, 225, 221, 218, 221, 228, 235, 235, 228, 228, 228, 206, 188, 197, 199, 190, 185, 192, 204, 218, 230, 225, 204, 178, 155, 136, 129, 122, 112, 112, 124, 129, 117, 122, 270, 684, 1126, 1077, 369, -197, 2, 225, 65, 18, 96, 72, 63, 110]"
1714325426606281277,"[119, 117, 129, 138, 148, 166, 178, 181, 171, 164, 188, 223, 244, 261, 275, 291, 308, 317, 317, 305, 277, 239, 204, 169, 138, 110, 77, 51, 44, 51, 61, 63, 58, 65, 77, 87, 96, 105, 103, 110, 124, 112, 91, 94, 98, 103, 119, 131, 138, 134, 124, 129, 138, 141, 143, 141, 131, 136, 148, 136, 119, 117, 115, 105, 110, 119, 122, 115, 110, 119, 129, 127, 127]"
1714325427167400482,"[124, 124, 145, 169, 171, 152, 119, 89, 79, 89, 96, 84, 65, 65, 79, 82, 68, 103, 355, 856, 1225, 910, 61, -249, 82, 127, -44, 18, 79, 28, 37, 82, 91, 96, 77, 63, 96, 96, 89, 162, 190, 143, 159, 204, 216, 254, 277, 263, 279, 305, 279, 249, 244, 216, 152, 103, 103, 108, 89, 72, 32, -11, 21, 68, 58, 61, 75, 65, 70, 89, 117, 136, 127]"
1714325427728529861,"[101, 87, 108, 124, 110, 105, 110, 115, 115, 105, 89, 87, 89, 89, 82, 58, 61, 84, 79, 63, 58, 47, 42, 51, 56, 54, 44, 39, 51, 65, 70, 65, 65, 79, 98, 110, 119, 108, 91, 103, 115, 98, 77, 79, 82, 87, 103, 122, 122, 112, 105, 110, 117, 119, 117, 112, 112, 115, 112, 96, 75, 188, 623, 1199, 1295, 555, -190, -65, 202, 37, -21, 87, 68]"
